,reaction_expression
MAR04614,48.8
MAR04615,48.8
MAR04617,48.8
MAR04618,48.8
MAR04619,48.8
MAR04621,48.8
MAR04632,144.50000000000003
MAR04646,-1.0
MAR04648,-1.0
MAR04649,-1.0
MAR04650,-1.0
MAR04651,15.6
MAR04663,15.6
MAR04664,17.6
MAR04694,7.8
MAR04695,15.6
MAR04705,144.50000000000003
MAR04709,15.6
MAR04799,15.6
MAR04802,15.6
MAR04804,9.8
MAR04808,3.9
MAR04810,9.8
MAR04812,238.1
MAR04814,7.8
MAR05301,70.3
MAR05353,97.6
MAR06601,-1.0
MAR06602,415.7
MAR06603,415.7
MAR06605,-1.0
MAR06606,-1.0
MAR06607,-1.0
MAR06609,-1.0
MAR06610,-1.0
MAR06611,-1.0
MAR07144,30.2
MAR08755,-1.0
MAR09797,-1.0
MAR04016,95.6
MAR04018,95.6
MAR04044,95.6
MAR04291,95.6
MAR04420,95.6
MAR04570,95.6
MAR04572,95.6
MAR04006,95.6
MAR04028,95.6
MAR04030,95.6
MAR04670,95.6
MAR04673,95.6
MAR04675,95.6
MAR06614,95.6
MAR06615,95.6
MAR06616,95.6
MAR04635,95.6
MAR03793,-1.0
MAR03931,40.0
MAR03969,41.0
MAR03970,139.60000000000002
MAR04008,49.8
MAR04032,14.6
MAR04034,4.9
MAR04036,4.9
MAR04050,4.9
MAR04056,144.50000000000003
MAR04059,40.0
MAR04060,40.0
MAR04127,65.4
MAR04177,144.50000000000003
MAR04179,144.50000000000003
MAR04182,251.8
MAR04183,2.0
MAR04192,2.0
MAR04194,14.6
MAR04210,485.0
MAR04211,17.6
MAR04343,4.9
MAR04345,5.9
MAR04346,14.6
MAR04470,5.9
MAR04471,5.9
MAR04472,5.9
MAR04484,144.50000000000003
MAR04485,10.7
MAR04510,144.50000000000003
MAR04512,49.8
MAR04513,8.8
MAR04514,2.0
MAR04577,4.9
MAR04579,15.6
MAR04580,2.0
MAR04608,4.9
MAR04575,5.9
MAR04637,4.9
MAR04642,44.9
MAR04643,88.80000000000001
MAR04644,-1.0
MAR04672,-1.0
MAR04676,70.3
MAR04736,-1.0
MAR04819,2.0
MAR05299,70.3
MAR05352,70.3
MAR05415,48.8
MAR05416,48.8
MAR05417,55.6
MAR06612,4.9
MAR06613,4.9
MAR06621,48.8
MAR06622,48.8
MAR06623,5.9
MAR06624,11.7
MAR06627,485.0
MAR07744,24.4
MAR08072,-1.0
MAR08637,-1.0
MAR03965,71.2
MAR03966,17.6
MAR03967,49.8
MAR03968,4.9
MAR03999,2.0
MAR04024,49.8
MAR04026,2.0
MAR04054,5.9
MAR04061,2.0
MAR04083,33.2
MAR04136,4726.8
MAR04180,70.3
MAR04185,11.8
MAR04186,11.8
MAR04342,40.0
MAR04344,-1.0
MAR04483,11.7
MAR04507,11.7
MAR04516,18.5
MAR04601,20.5
MAR04633,3.9
MAR04640,4.9
MAR04641,5.9
MAR04680,15.6
MAR04806,15.6
MAR05394,-1.0
MAR06625,11.7
MAR06626,44.9
MAR07160,355.20000000000005
MAR07161,3.9
MAR07162,3.9
MAR07163,10.7
MAR07164,10.7
MAR07713,139.60000000000002
MAR07716,139.60000000000002
MAR07717,139.60000000000002
MAR07721,139.60000000000002
MAR07725,139.60000000000002
MAR07728,139.60000000000002
MAR07800,-1.0
MAR07801,78.1
MAR07802,-1.0
MAR07863,49.8
MAR07864,49.8
MAR07865,49.8
MAR07866,49.8
MAR07867,49.8
MAR07868,49.8
MAR07869,49.8
MAR07870,49.8
MAR07871,49.8
MAR07872,49.8
MAR07873,49.8
MAR07874,49.8
MAR07875,2.0
MAR07876,49.8
MAR07878,95.6
MAR07879,17.6
MAR07880,42.0
MAR07881,37.1
MAR07882,37.1
MAR07883,117.1
MAR07884,37.1
MAR07885,37.1
MAR07886,117.1
MAR07887,37.1
MAR07888,37.1
MAR07889,37.1
MAR07890,117.1
MAR07891,37.1
MAR07892,37.1
MAR07893,37.1
MAR07894,117.1
MAR07895,117.1
MAR08083,507.5
MAR08085,507.5
MAR08087,507.5
MAR08443,30.2
MAR08444,30.2
MAR08445,70.3
MAR08446,1.0
MAR08448,49.8
MAR08449,49.8
MAR08450,49.8
MAR08451,49.8
MAR08452,49.8
MAR08453,49.8
MAR08454,49.8
MAR08455,49.8
MAR08456,49.8
MAR08457,49.8
MAR08458,49.8
MAR08459,49.8
MAR08460,49.8
MAR08461,-1.0
MAR08462,49.8
MAR08463,49.8
MAR08464,49.8
MAR08465,49.8
MAR08466,49.8
MAR08467,49.8
MAR08468,49.8
MAR08469,49.8
MAR08470,49.8
MAR08471,49.8
MAR08472,49.8
MAR08473,3.9
MAR08474,40.0
MAR08477,8.8
MAR08478,8.8
MAR08479,8.8
MAR08480,1.0
MAR08481,-1.0
MAR08482,15.6
MAR08483,71.2
MAR08484,-1.0
MAR08485,31.2
MAR08486,15.6
MAR08487,32.2
MAR08488,17.6
MAR08489,17.6
MAR08493,2.9
MAR08494,2.9
MAR08495,2.9
MAR03802,30.3
MAR03804,30.3
MAR03811,11.7
MAR03813,10.7
MAR03822,17.6
MAR03827,36.1
MAR03829,65.4
MAR03862,2.9
MAR03865,36.1
MAR03870,9.8
MAR03873,-1.0
MAR08654,-1.0
MAR03890,619.6
MAR03892,42.9
MAR09802,-1.0
MAR03899,18.5
MAR03903,-1.0
MAR04109,24.4
MAR04114,25.4
MAR04115,25.4
MAR04118,9.8
MAR04172,2.9
MAR04196,-1.0
MAR04197,7.8
MAR04287,404.0
MAR04690,-1.0
MAR04693,3.9
MAR06780,36.1
MAR06968,1.0
MAR06969,10.7
MAR06970,18.5
MAR06971,16.6
MAR06972,16.6
MAR07641,2.0
MAR07642,-1.0
MAR08626,-1.0
MAR08628,10.7
MAR03806,17.6
MAR03807,36.1
MAR03809,-1.0
MAR03816,-1.0
MAR03819,17.6
MAR03820,17.6
MAR03832,-1.0
MAR03833,17.5
MAR03835,17.5
MAR03837,16.6
MAR03895,3.9
MAR03897,3.9
MAR03956,2.0
MAR03993,-1.0
MAR04073,160.0
MAR04075,62.5
MAR04077,111.3
MAR04190,-1.0
MAR04191,-1.0
MAR04212,102.5
MAR04422,102.5
MAR04423,2.0
MAR04424,40.0
MAR04583,946.5
MAR04605,213.79999999999998
MAR04606,29.3
MAR04607,15.6
MAR04776,53.7
MAR04777,53.7
MAR04778,19.5
MAR04779,19.5
MAR04780,19.5
MAR04781,19.5
MAR04784,17.6
MAR04785,17.6
MAR04786,101.5
MAR04787,8.8
MAR05384,16.6
MAR06929,298.6
MAR06930,298.6
MAR06931,2.0
MAR06932,2.0
MAR06933,2.0
MAR06934,2.0
MAR06935,2.0
MAR06936,2.0
MAR06938,298.6
MAR06939,298.6
MAR06940,-1.0
MAR06941,2.0
MAR06942,2.0
MAR06943,2.0
MAR06944,2.0
MAR06945,2.0
MAR06946,2.0
MAR06947,2.0
MAR06948,2.0
MAR06949,2.0
MAR06950,2.0
MAR06951,2.0
MAR06952,2.0
MAR06953,20.5
MAR06954,20.5
MAR06955,-1.0
MAR06956,-1.0
MAR06957,-1.0
MAR06958,2.0
MAR06959,2.0
MAR06960,-1.0
MAR06961,2.0
MAR06962,2.0
MAR06963,2.0
MAR06964,2.0
MAR06965,18.5
MAR06966,18.5
MAR06967,18.5
MAR06973,20.5
MAR08096,17.6
MAR08097,17.6
MAR08098,36.1
MAR08416,1.0
MAR08425,1.0
MAR08426,27.3
MAR08427,250.8
MAR08431,-1.0
MAR08432,-1.0
MAR08603,298.6
MAR08604,15.7
MAR08605,213.79999999999998
MAR08606,-1.0
MAR08607,-1.0
MAR08608,-1.0
MAR08609,16.6
MAR08610,-1.0
MAR08611,7.8
MAR04285,11.7
MAR00457,1.0
MAR00460,1.0
MAR03750,-1.0
MAR03752,52.7
MAR03770,49.8
MAR03771,-1.0
MAR03772,-1.0
MAR03782,-1.0
MAR03784,52.7
MAR03794,1.0
MAR03839,23.4
MAR03841,-1.0
MAR03843,96.60000000000001
MAR03845,10.7
MAR03847,4.9
MAR03849,-1.0
MAR03852,2.0
MAR03856,66.4
MAR03860,-1.0
MAR03883,5.9
MAR03901,2.0
MAR03939,23.4
MAR03974,5.9
MAR04198,-1.0
MAR04199,1.0
MAR04200,5.9
MAR04284,-1.0
MAR04348,-1.0
MAR04466,23.4
MAR04467,-1.0
MAR04582,57.6
MAR04584,250.8
MAR04696,2.0
MAR04697,13.7
MAR04698,13.7
MAR04699,7.8
MAR04700,22.5
MAR04742,23.4
MAR04788,-1.0
MAR04789,-1.0
MAR04791,-1.0
MAR04792,5.9
MAR04937,36.1
MAR05392,18.5
MAR05393,8.8
MAR06409,45.9
MAR07702,66.4
MAR07703,-1.0
MAR08433,35.1
MAR08434,35.1
MAR08439,1.0
MAR08440,13.7
MAR08441,2.0
MAR08442,-1.0
MAR09718,-1.0
MAR09486,2.9
MAR04426,240.1
MAR04428,-1.0
MAR04429,5.9
MAR04430,15.7
MAR04431,6.9
MAR04437,-1.0
MAR04658,-1.0
MAR04660,1.0
MAR04712,-1.0
MAR05336,446.00000000000006
MAR05337,135.7
MAR05338,14.8
MAR05339,446.00000000000006
MAR05340,446.00000000000006
MAR08783,2.0
MAR08784,213.79999999999998
MAR08786,97.7
MAR04239,21.5
MAR04241,700.5
MAR04288,78.1
MAR04596,3.9
MAR04597,3.9
MAR04599,65.4
MAR04667,114.19999999999999
MAR04668,78.1
MAR04737,13.7
MAR04739,13.7
MAR04740,-1.0
MAR06415,21.5
MAR06974,-1.0
MAR06975,653.7
MAR06976,653.7
MAR06977,653.7
MAR06978,4.9
MAR06979,11.7
MAR06980,5.9
MAR06981,40.0
MAR06982,-1.0
MAR06983,23.4
MAR06984,21.5
MAR06985,6.8
MAR08017,-1.0
MAR08018,-1.0
MAR08019,-1.0
MAR08021,-1.0
MAR08025,693.7
MAR08026,693.7
MAR08027,693.7
MAR08029,4.9
MAR03164,1.0
MAR03166,45.9
MAR03885,110.3
MAR04250,-1.0
MAR08091,-1.0
MAR08092,13.7
MAR08563,97.7
MAR08564,7.8
MAR08565,-1.0
MAR08566,19.5
MAR03935,16.6
MAR04681,-1.0
MAR04682,15.7
MAR04683,6.9
MAR04685,6.9
MAR04686,6.9
MAR04687,6.9
MAR04702,-1.0
MAR04703,2.9
MAR04704,2.9
MAR06988,-1.0
MAR07689,5.9
MAR07701,1.0
MAR08094,2.0
MAR08529,2.0
MAR08530,116.1
MAR08533,-1.0
MAR08534,5.9
MAR08535,5.9
