GeneID,RPKM_zero,RPKM_final
ENSG00000204472,51.64156888,17.84131399
ENSG00000126878,13.91198311,10.31466599
ENSG00000156709,14.68714621,10.03791062
ENSG00000042286,11.9087027,24.08483483
ENSG00000183773,22.40413918,16.78007254
ENSG00000146416,16.69015912,18.51522928
ENSG00000163568,8.621044333,4.73680141
ENSG00000164022,11.09042714,6.333910173
ENSG00000106305,47.2248897,49.1567061
ENSG00000110711,31.4486234,11.82198057
ENSG00000129221,18.06876704,16.14357476
ENSG00000160224,7.270622688,7.752908416
ENSG00000196581,4.423637095,6.906183197
ENSG00000129474,8.255943188,14.47038702
ENSG00000106992,26.4508974,15.07367166
ENSG00000004455,9.615858529,7.163932243
ENSG00000147853,15.11943316,23.93819268
ENSG00000162433,8.713773941,10.64422227
ENSG00000154027,8.608711697,16.59798008
ENSG00000085231,29.17646502,8.010185673
ENSG00000140057,11.29907198,6.203984094
ENSG00000165695,24.24452955,17.77613705
ENSG00000155085,13.14860838,15.97533454
ENSG00000121057,14.49016751,15.81547363
ENSG00000108599,18.86367841,12.16600739
ENSG00000023516,5.851972351,8.875969734
ENSG00000131016,8.755823106,8.82964283
ENSG00000170776,4.638535733,2.400205097
ENSG00000186471,61.61039413,68.34686268
ENSG00000111254,15.92516464,28.27722616
ENSG00000147081,23.61800254,33.44633791
ENSG00000179841,12.16399255,11.93355827
ENSG00000151320,5.235350577,5.222647922
ENSG00000118507,19.03887595,16.53705535
ENSG00000105127,9.635899851,7.591116166
ENSG00000011243,15.1050335,12.02848052
ENSG00000127914,3.081739513,3.029694485
ENSG00000166452,31.62379005,21.39803016
ENSG00000174574,22.66223284,33.89672883
ENSG00000135334,24.47165534,17.71399552
ENSG00000106948,10.91229797,9.254273242
ENSG00000162641,16.59675762,21.8393292
ENSG00000117448,39.05520304,30.18960672
ENSG00000085662,26.3149564,20.137093
ENSG00000198074,34.19344853,26.65809511
ENSG00000227471,37.2578326,19.71197831
ENSG00000187134,12.34511623,12.96543412
ENSG00000151632,22.0012289,18.44011416
ENSG00000196139,54.83383903,35.6881905
ENSG00000198610,35.26535547,54.33756524
ENSG00000122787,31.81347301,34.33992625
ENSG00000165568,50.09847335,79.84266119
ENSG00000053371,25.47170068,22.60469017
ENSG00000162482,53.22601064,55.49528325
ENSG00000142208,8.214426887,9.502666884
ENSG00000204673,8.353191607,8.172494232
ENSG00000105221,14.12737852,13.94231859
ENSG00000117020,6.288179747,4.706339798
ENSG00000166971,27.93573278,38.32965429
ENSG00000148218,19.30966435,14.79334701
ENSG00000023330,28.69268569,13.42382976
ENSG00000158578,34.78324813,35.70679914
ENSG00000163631,23.59400664,21.36738029
ENSG00000170017,13.98851548,27.83418622
ENSG00000161618,10.77076121,10.53954969
ENSG00000059573,11.55443491,7.797757529
ENSG00000165092,31.47409599,43.2569066
ENSG00000128918,16.15776614,24.76794177
ENSG00000184254,13.05071085,10.74007153
ENSG00000137124,24.73667963,20.51000547
ENSG00000144908,13.35865005,12.36748853
ENSG00000136010,6.473960663,7.784456376
ENSG00000111275,5.588328538,4.668443987
ENSG00000108602,27.47342365,29.81453773
ENSG00000072210,19.1958197,20.89666815
ENSG00000006534,10.11049682,17.78683352
ENSG00000132746,22.49659608,18.30501036
ENSG00000159423,18.64465475,17.53513802
ENSG00000112294,12.30945366,16.16057439
ENSG00000119711,9.171709251,14.81943274
ENSG00000164904,14.78639138,10.23541788
ENSG00000118514,21.27557426,22.05444445
ENSG00000143149,22.71173327,16.60144101
ENSG00000149925,23.25335032,9.37911782
ENSG00000136872,31.59272763,35.4185487
ENSG00000109107,45.37279453,40.34958266
ENSG00000033011,9.607896086,11.11448239
ENSG00000139133,23.1145608,22.64031314
ENSG00000175548,5.548021054,4.027051823
ENSG00000253710,2.821187096,3.04412597
ENSG00000182858,10.89778875,3.850989311
ENSG00000101901,16.8346536,18.58450867
ENSG00000172339,4.442155864,2.537923566
ENSG00000119523,22.57426385,14.56028485
ENSG00000214160,25.54138593,11.25688498
ENSG00000120697,7.514925735,14.2189577
ENSG00000088035,18.25756029,14.30367458
ENSG00000159063,20.64445244,15.37017664
ENSG00000086848,7.011363557,5.566723836
ENSG00000171094,9.832762674,8.62250019
ENSG00000100601,28.9873373,39.72115618
ENSG00000189046,52.53010239,39.99223199
ENSG00000166199,44.22831163,72.20979212
ENSG00000160993,28.58733468,39.59888173
ENSG00000091542,20.64413014,18.85875424
ENSG00000239382,15.40865679,26.2062766
ENSG00000125652,65.91306621,63.94355665
ENSG00000137760,17.4942574,14.25314072
ENSG00000151360,24.84014577,30.94477204
ENSG00000116127,4.058697205,5.229156059
ENSG00000108839,33.33887764,32.98015445
ENSG00000179477,24.27113249,22.14772172
ENSG00000161905,22.6021582,14.46892204
ENSG00000179593,21.57482555,17.7479
ENSG00000012779,21.31069545,8.953805613
ENSG00000132965,38.83791683,41.89126574
ENSG00000179148,19.68106804,14.7261262
ENSG00000163295,26.35893254,19.65799997
ENSG00000073331,7.162277463,4.546619164
ENSG00000198796,5.8534969,5.151440519
ENSG00000136383,3.63963747,4.557907428
ENSG00000162551,16.52083751,19.72009594
ENSG00000163283,24.06073953,23.15333175
ENSG00000003393,5.845861021,5.918599142
ENSG00000178038,13.38377049,14.0996251
ENSG00000180318,26.69976556,27.47641614
ENSG00000156150,24.70205028,22.18426956
ENSG00000052850,6.792076296,9.431673155
ENSG00000183684,46.01032358,32.23353619
ENSG00000242110,10.32645538,7.870026456
ENSG00000178522,27.46415046,55.01066709
ENSG00000106927,43.23777155,41.3304244
ENSG00000110497,11.04312181,10.53758005
ENSG00000123505,9.681118302,11.55687457
ENSG00000139344,27.24325237,29.20156007
ENSG00000162066,20.37996758,17.24390119
ENSG00000125363,79.10608713,73.12049265
ENSG00000099721,65.73428641,125.3477978
ENSG00000184675,7.073771127,6.374879289
ENSG00000165566,4.67809136,4.405551637
ENSG00000178171,4.958977684,7.672371677
ENSG00000159461,7.133197446,15.06276092
ENSG00000104899,31.47147458,32.7576662
ENSG00000135409,34.72267393,29.87099479
ENSG00000181754,8.714764594,4.684244307
ENSG00000139211,11.49053547,8.479534069
ENSG00000176020,19.2292843,19.17120471
ENSG00000101935,12.76179219,12.14457698
ENSG00000144233,7.573711372,7.358694607
ENSG00000166126,18.23852906,14.41964005
ENSG00000151743,28.4246975,21.84040906
ENSG00000126016,9.108863416,9.632065807
ENSG00000166025,7.456043048,8.309578153
ENSG00000114019,9.898862228,6.998581425
ENSG00000116748,30.87550014,23.39674284
ENSG00000116337,10.75959235,9.112200059
ENSG00000133805,16.23888888,20.11546903
ENSG00000078053,19.30432801,15.78970999
ENSG00000145020,10.60467899,11.73058375
ENSG00000187689,65.21501492,64.81457466
ENSG00000187733,36.65054998,21.88052028
ENSG00000243480,40.98562855,23.52934507
ENSG00000240038,14.38866633,21.07462968
ENSG00000174945,8.229542908,7.049814868
ENSG00000196704,16.02378018,14.89457116
ENSG00000153107,7.445457688,7.960333687
