,reaction_expression
MAR08467_f,79.8
MAR08468_f,79.8
MAR08469_f,79.8
MAR08470_f,79.8
MAR08471_f,79.8
MAR08472_f,79.8
MAR08473,-1.0
MAR08474,15.100000000000001
MAR08477_f,16.5
MAR08478_f,16.5
MAR08479_f,16.5
MAR08480,-1.0
MAR08481_f,-1.0
MAR08482,12.8
MAR08483,120.0
MAR08484,-1.0
MAR08485,7.4
MAR08486_f,-1.0
MAR08487,34.8
MAR08488,30.0
MAR08489,30.0
MAR08493,16.5
MAR08494,16.5
MAR08495,16.5
MAR03802_f,53.3
MAR03804_f,53.3
MAR03811,-1.0
MAR03813_f,35.9
MAR03822,7.1
MAR03827_f,25.1
MAR03829_f,18.2
MAR03862,43.4
MAR03865,25.1
MAR03870,12.9
MAR03873,-1.0
MAR08654,-1.0
MAR03890,172.7
MAR03892,72.6
MAR09802,-1.0
MAR03899_f,-1.0
MAR03903,-1.0
MAR04109_f,-1.0
MAR04114,19.2
MAR04115,19.2
MAR04118,12.9
MAR04172,43.4
MAR04196,-1.0
MAR04197,11.9
MAR04287,444.6
MAR04690,-1.0
MAR04693_f,-1.0
MAR06780,25.1
MAR06968_f,-1.0
MAR06969_f,-1.0
MAR06970_f,-1.0
MAR06971_f,46.3
MAR06972_f,46.3
MAR07641,-1.0
MAR07642_f,-1.0
MAR08626,-1.0
MAR08628,-1.0
MAR03806_f,7.1
MAR03807_f,33.0
MAR03809_f,-1.0
MAR03816,-1.0
MAR03819_f,7.1
MAR03820_f,7.1
MAR03832,-1.0
MAR03833,24.7
MAR03835,24.7
MAR03837,24.7
MAR03895,-1.0
MAR03897,-1.0
MAR03956_f,-1.0
MAR03993,-1.0
MAR04073,97.2
MAR04075,58.9
MAR04077,105.9
MAR04190_f,-1.0
MAR04191,-1.0
MAR04212,51.4
MAR04422,51.4
MAR04423,-1.0
MAR04424,-1.0
MAR04583_f,12.2
MAR04605,163.5
MAR04606,-1.0
MAR04607,47.3
MAR04776,-1.0
MAR04777,-1.0
MAR04778,24.7
MAR04779,24.7
MAR04780,24.7
MAR04781,24.7
MAR04784,7.1
MAR04785,7.1
MAR04786,43.3
MAR04787,-1.0
MAR05384,-1.0
MAR06929_f,1206.5
MAR06930_f,1206.5
MAR06931,-1.0
MAR06932,-1.0
MAR06933,-1.0
MAR06934,-1.0
MAR06935,-1.0
MAR06936,-1.0
MAR06938_f,1206.5
MAR06939_f,1206.5
MAR06940_f,-1.0
MAR06941,-1.0
MAR06942,-1.0
MAR06943,-1.0
MAR06944,-1.0
MAR06945,-1.0
MAR06946,-1.0
MAR06947,-1.0
MAR06948,-1.0
MAR06949,-1.0
MAR06950,-1.0
MAR06951,-1.0
MAR06952,-1.0
MAR06953,33.9
MAR06954,33.9
MAR06955_f,-1.0
MAR06956_f,-1.0
MAR06957_f,-1.0
MAR06958,2.8
MAR06959,2.8
MAR06960_f,-1.0
MAR06961,2.8
MAR06962,2.8
MAR06963,2.8
MAR06964,2.8
MAR06965_f,16.2
MAR06966_f,16.2
MAR06967_f,16.2
MAR06973_f,33.9
MAR08096_f,7.1
MAR08097_f,7.1
MAR08098,25.1
MAR08416,-1.0
MAR08425_f,-1.0
MAR08426,-1.0
MAR08427_f,28.7
MAR08431,-1.0
MAR08432,-1.0
MAR08603,1206.5
MAR08604,-1.0
MAR08605,163.5
MAR08606,-1.0
MAR08607,-1.0
MAR08608,-1.0
MAR08609,24.7
MAR08610,-1.0
MAR08611,-1.0
MAR04285,-1.0
MAR00457,-1.0
MAR00460,-1.0
MAR03750_f,-1.0
MAR03752_f,-1.0
MAR03770_f,19.8
MAR03771_f,-1.0
MAR03772_f,-1.0
MAR03782_f,-1.0
MAR03784_f,-1.0
MAR03794_f,-1.0
MAR03839_f,25.4
MAR03841_f,-1.0
MAR03843,117.9
MAR03845_f,12.6
MAR03847_f,6.4
MAR03849,-1.0
MAR03852,-1.0
MAR03856,47.9
MAR03860,-1.0
MAR03883,-1.0
MAR03901,-1.0
MAR03939_f,24.7
MAR03974,-1.0
MAR04198,-1.0
MAR04199_f,-1.0
MAR04200,-1.0
MAR04284,-1.0
MAR04348,-1.0
MAR04466,26.9
MAR04467,-1.0
MAR04582_f,7.2
MAR04584_f,28.7
MAR04696,-1.0
MAR04697,23.2
MAR04698,23.2
MAR04699,-1.0
MAR04700_f,-1.0
MAR04742,24.7
MAR04788,-1.0
MAR04789,-1.0
MAR04791,-1.0
MAR04792_f,-1.0
MAR04937_f,-1.0
MAR05392,17.9
MAR05393,-1.0
MAR06409_f,27.0
MAR07702_f,47.9
MAR07703,-1.0
MAR08433,25.8
MAR08434,25.8
MAR08439,-1.0
MAR08440,23.2
MAR08441,-1.0
MAR08442,-1.0
MAR09718,-1.0
MAR09486,-1.0
MAR04426_f,242.99999999999997
MAR04428,-1.0
MAR04429,-1.0
MAR04430,-1.0
MAR04431,-1.0
MAR04437,-1.0
MAR04658_f,-1.0
MAR04660,-1.0
MAR04712,-1.0
MAR05336_f,225.00000000000003
MAR05337_f,136.2
MAR05338,90.0
MAR05339_f,225.00000000000003
MAR05340,225.00000000000003
MAR08783,-1.0
MAR08784,163.5
MAR08786,92.3
MAR04239,18.9
MAR04241_f,637.4000000000001
MAR04288,-1.0
MAR04596_f,-1.0
MAR04597_f,-1.0
MAR04599,26.799999999999997
MAR04667,23.0
MAR04668,-1.0
MAR04737,23.2
MAR04739,23.2
MAR04740_f,-1.0
MAR06415,19.8
MAR06974,-1.0
MAR06975,606.0
MAR06976,606.0
MAR06977,606.0
MAR06978,69.3
MAR06979,-1.0
MAR06980,-1.0
MAR06981,43.7
MAR06982,-1.0
MAR06983,-1.0
MAR06984,-1.0
MAR06985,-1.0
MAR08017,-1.0
MAR08018,-1.0
MAR08019,-1.0
MAR08021,-1.0
MAR08025,625.4000000000001
MAR08026,625.4000000000001
MAR08027,625.4000000000001
MAR08029,69.3
MAR03164,75.3
MAR03166,19.1
MAR03885_f,57.0
MAR04250,-1.0
MAR08091,-1.0
MAR08092,-1.0
MAR08563,92.3
MAR08564,11.9
MAR08565,-1.0
MAR08566,-1.0
MAR03935_f,22.2
MAR04681,-1.0
MAR04682,-1.0
MAR04683,-1.0
MAR04685,-1.0
MAR04686_f,-1.0
MAR04687_f,-1.0
MAR04702,-1.0
MAR04703,-1.0
MAR04704,-1.0
MAR06988,-1.0
MAR07689,-1.0
MAR07701,-1.0
MAR08094,-1.0
MAR08529,-1.0
MAR08530_f,57.2
MAR08533,-1.0
MAR08534,-1.0
MAR08535,-1.0
MAR08537,-1.0
MAR08541,-1.0
MAR08542,-1.0
MAR08543,-1.0
MAR08544,-1.0
MAR08630,-1.0
MAR08540,-1.0
MAR03206,28.3
MAR03208,7.7
MAR03213,10.4
MAR03215,12.7
MAR03747,-1.0
MAR03744,15.2
MAR03757,93.30000000000001
MAR03761,-1.0
MAR03777,-1.0
MAR03778,15.2
MAR03795,-1.0
MAR04797,163.5
MAR06417_f,12.8
MAR06419,10.8
MAR06420,12.8
MAR06421,10.8
MAR06422,12.8
MAR06923,-1.0
MAR03765,15.2
MAR06924,-1.0
MAR06925_f,175.5
MAR06926_f,6.8
MAR06927_f,6.8
MAR08088_f,-1.0
MAR08787,8.4
MAR03743_f,-1.0
MAR03940,-1.0
MAR04214,-1.0
MAR04216,-1.0
MAR04218,-1.0
MAR04219,-1.0
MAR04220_f,-1.0
