,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7
ENSG00000205678,16.132882508907656,14.601999118603237,16.169926637037623,16.05158520392322,16.242386280296657,16.744475069139614,13.616871205862655
ENSG00000072274,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000088451,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000092295,0.11460195503481396,0.10041879941378659,0.10156346177278693,0.1159114222044188,0.1243402201680529,0.1074201699847681,0.0987548882976393
ENSG00000198959,0.1013654862790952,0.10004653329222792,0.09479256433838336,0.08712966875576521,0.0897300557830935,0.10553641168481301,0.0502090169374935
ENSG00000125780,0.13396219239525792,0.13708701722869587,0.12975501660835034,0.12846195618041764,0.11710149298824553,0.13163335631568382,0.1321975996710846
ENSG00000163810,0.10448442434667063,0.09902280128591284,0.10888834173282567,0.10734326916419479,0.11544261802302656,0.11059039740660688,0.10280037757412712
ENSG00000104055,0.09539386100907826,0.11214518379114335,0.10778037670489475,0.09943884633578634,0.10654501583335398,0.1031013094486139,0.07677439654090952
ENSG00000166948,0.13784184701879704,0.13904141461263422,0.14674381385110766,0.13956435164650272,0.14070275977934177,0.13397656790367796,0.10244077855552279
ENSG00000159495,0.13400022819954058,0.14481154023405962,0.1378800935576419,0.13377179749514123,0.11717689639474078,0.1269928784755516,0.24520160021222837
ENSG00000180176,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000185875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000172009,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000259431,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000140534,0.2263345195571689,0.21989787514879908,0.2118634326034405,0.23401688778151905,0.21391752581056,0.2176394293323885,0.20246768505240437
ENSG00000163659,0.05306031279681184,0.04927369296176377,0.054145603861171294,0.05500000000553991,0.05249651115061996,0.05404486929350667,0.032018244252365775
ENSG00000167900,3.0,3.0,3.0,3.0,3.0,3.0,3.0
ENSG00000166548,3.0,3.0,3.0,3.0,3.0,3.0,3.0
ENSG00000163931,0.7327483993074779,0.7430167597513999,0.7856287425193207,0.7686077902908816,0.7902750491662635,0.7791922047756071,0.8502662843247396
ENSG00000007350,0.48636471429376554,0.5206703909706317,0.449900199499918,0.43116081753960545,0.446463654225754,0.4815338678783588,0.40352314635774644
ENSG00000151005,0.7808868863987563,0.7363128492779681,0.7644710579807612,0.800231392169513,0.7632612966079826,0.739273927346034,0.7462105693175141
ENSG00000149809,3.9848327447850056,3.9214318922453493,3.936265136888869,3.893706293624633,4.044386422977847,4.053673014906013,4.07127583771873
ENSG00000142046,5.2299062425011,5.212939075153871,5.209800315306284,5.223878478076858,5.236434767841648,5.209677419376604,5.271848270759788
ENSG00000185973,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000188167,7.0,7.0,7.0,7.0,7.0,7.0,7.0
ENSG00000166479,0.20096419479969768,0.21244192048873212,0.2028098603859694,0.19377518649139538,0.22206969375943372,0.2001680454947268,0.17008006744838464
ENSG00000173273,0.046177059161319846,0.04810050979466638,0.04880887083551345,0.0409090909129797,0.04898425571878843,0.045000849589579436,0.04710607411962201
ENSG00000107854,0.046177059161319846,0.04810050979466638,0.04880887083551345,0.0409090909129797,0.04898425571878843,0.045000849589579436,0.04710607411962201
ENSG00000116783,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000100354,0.9695550351525416,0.9948400412288608,0.9165023011641239,0.9765870143250599,0.9840510367368358,0.9134995699932594,1.0188070928606647
ENSG00000197579,0.005671457560457907,0.006219518136299027,0.004717948718687652,0.004806776154306744,0.005727651376311171,0.00523732143730391,0.010515732062944162
ENSG00000186815,0.0879876369440709,0.08984282254331334,0.09078194119655786,0.08909587931760207,0.08071824132438389,0.08996945630986784,0.04618783941157404
ENSG00000162341,0.05943771917459384,0.04715323615332295,0.056498829035722044,0.057068610570997706,0.057685853338410635,0.05556505802966234,0.0506069641184568
