GeneID,healthy,diseased
ENSG00000109321,10.28,22.45
ENSG00000138757,35.87,57.47
ENSG00000138768,51.99,51.04
ENSG00000145293,52.04,41.2
ENSG00000198189,1.029,0.8727
ENSG00000170502,66.89,75.78
ENSG00000118785,56.58,30.84
ENSG00000118777,3.37,2.235
ENSG00000138642,3.955,4.679
ENSG00000138646,5.718,5.791
ENSG00000145335,8.887,19.43
ENSG00000197894,1.015,1.024
ENSG00000187758,4913.0,5349.0
ENSG00000196616,4837.0,4918.0
ENSG00000248144,38.86,57.52
ENSG00000164031,31.04,35.25
ENSG00000164032,681.3,685.5
ENSG00000109320,41.98,44.33
ENSG00000138801,35.82,32.31
ENSG00000138796,30.2,21.97
ENSG00000198856,220.5,252.2
ENSG00000138798,0.3914,0.079
ENSG00000170522,5.228,4.13
ENSG00000164109,0.2206,0.9351
ENSG00000164111,362.5,469.3
ENSG00000145386,3.077,4.941
ENSG00000138685,8.567,8.978
ENSG00000151012,0.1177,0.2217
ENSG00000153130,28.09,42.56
ENSG00000109452,0.4682,0.4725
ENSG00000153147,2.34,2.548
ENSG00000170365,0.6122,0.6179
ENSG00000164167,26.88,25.54
ENSG00000109654,3.155,5.616
ENSG00000121211,3.372,2.382
ENSG00000145423,0.1926,1.633
ENSG00000171566,15.57,18.76
ENSG00000171564,881.4,726.5
ENSG00000171557,1042.0,768.9
ENSG00000164116,0.6319,0.4202
ENSG00000061918,8.088,3.175
ENSG00000109756,2.372,2.283
ENSG00000052802,1084.0,1514.0
ENSG00000137628,3.498,3.438
ENSG00000109674,0.4874,1.377
ENSG00000129187,108.2,129.5
ENSG00000182552,2.638,1.57
ENSG00000164305,36.36,26.35
ENSG00000151725,9.297,5.337
ENSG00000151726,267.2,367.7
ENSG00000151729,66.86,84.51
ENSG00000083857,26.12,32.24
ENSG00000066230,1.384,1.955
ENSG00000171421,265.3,250.4
ENSG00000164151,1.94,1.892
ENSG00000145545,13.88,13.42
ENSG00000112941,3.141,3.96
ENSG00000150753,142.9,167.0
ENSG00000145555,0.8254,0.933
ENSG00000242110,0.5614,0.3966
ENSG00000039560,2.616,2.079
ENSG00000113492,16.4,7.062
ENSG00000079215,24.79,29.98
ENSG00000168621,1.099,0.239
ENSG00000082074,9.443,7.748
ENSG00000171522,1.113,0.393
ENSG00000132356,36.97,35.6
ENSG00000112964,60.0,55.23
ENSG00000172262,5.654,3.268
ENSG00000112972,5.059,4.962
ENSG00000172239,2.362,2.67
ENSG00000112992,73.2,56.91
ENSG00000213949,34.62,33.54
ENSG00000134363,0.2035,0.4314
ENSG00000145649,4.29,3.637
ENSG00000067248,3.151,1.558
ENSG00000188725,34.47,32.16
ENSG00000145675,14.64,11.95
ENSG00000134057,3.013,3.505
ENSG00000153044,12.77,6.418
ENSG00000134058,72.37,73.47
ENSG00000085231,0.4285,1.514
ENSG00000273841,0.5058,1.787
ENSG00000183474,162.3,143.6
ENSG00000249437,6.918,4.887
ENSG00000145736,156.3,129.9
ENSG00000049860,589.8,615.3
ENSG00000164347,15.5,14.13
ENSG00000164346,39.73,48.2
ENSG00000113161,54.63,64.39
ENSG00000113163,22.48,17.86
ENSG00000228716,1.765,0.6929
ENSG00000145687,0.1112,0.1048
ENSG00000174695,42.27,57.21
ENSG00000145715,6.279,10.61
ENSG00000134480,18.25,12.49
ENSG00000153140,26.34,23.93
ENSG00000175745,1.446,1.907
ENSG00000173221,287.5,228.6
ENSG00000153113,23.57,28.9
ENSG00000174132,75.08,78.77
ENSG00000145723,2.653,2.464
ENSG00000164209,6.569,6.442
ENSG00000145777,2.469,2.455
ENSG00000129625,42.89,49.91
ENSG00000134970,21.39,23.29
ENSG00000145782,2.968,2.796
ENSG00000168938,268.8,375.5
ENSG00000164904,1.855,1.14
ENSG00000113368,3.202,3.744
ENSG00000066583,22.37,24.61
ENSG00000072682,15.94,26.45
ENSG00000113522,28.76,30.2
ENSG00000164404,58.86,53.9
ENSG00000164405,151.3,142.2
ENSG00000170606,99.76,143.6
ENSG00000213585,758.6,955.6
ENSG00000113558,49.24,50.33
ENSG00000113575,40.86,45.96
ENSG00000043143,0.6677,1.089
ENSG00000113658,54.56,64.88
ENSG00000120738,26.34,40.86
ENSG00000120705,46.67,62.46
ENSG00000170458,125.7,159.5
ENSG00000250120,0.05053,0.0357
ENSG00000243232,0.3305,0.0934
ENSG00000178913,50.75,63.66
ENSG00000113552,48.14,37.65
ENSG00000113580,8.311,9.32
ENSG00000145817,8.831,8.318
ENSG00000113649,3.315,1.071
ENSG00000113712,9.493,14.38
ENSG00000182578,9.794,12.31
ENSG00000019582,1.318,2.128
ENSG00000145901,16.95,24.09
ENSG00000145907,45.18,51.25
ENSG00000082516,14.78,12.85
ENSG00000113249,25.31,42.42
ENSG00000113263,1.719,0.2429
ENSG00000164611,1.628,0.7666
ENSG00000113328,4.504,6.482
ENSG00000072571,1.912,7.023
ENSG00000120137,68.91,57.51
ENSG00000134516,3.289,4.046
ENSG00000072786,3.839,3.678
ENSG00000120129,312.2,287.9
ENSG00000113732,1163.0,1075.0
ENSG00000175416,86.43,87.62
ENSG00000160883,11.93,5.322
ENSG00000131188,0.3722,0.1169
ENSG00000145912,79.12,109.9
ENSG00000127022,75.51,90.26
ENSG00000161011,145.2,157.8
ENSG00000197226,90.3,97.12
ENSG00000050748,1.053,0.7828
ENSG00000112679,24.22,22.72
ENSG00000137275,22.82,19.76
ENSG00000137274,177.6,175.4
ENSG00000137267,138.8,169.0
ENSG00000137285,5.6,5.934
ENSG00000124787,7.104,8.937
ENSG00000124783,4.933,7.083
ENSG00000096696,30.6,33.72
ENSG00000239264,84.76,105.4
ENSG00000111843,191.7,224.7
ENSG00000137210,2.122,1.499
ENSG00000197977,0.2645,0.4672
ENSG00000078401,0.2902,0.41
ENSG00000145990,7.214,5.247
ENSG00000050393,0.5043,0.08906
ENSG00000137177,9.907,16.2
ENSG00000124795,63.14,68.65
ENSG00000124766,5.921,10.37
ENSG00000112308,10.61,11.27
ENSG00000112312,18.48,13.25
ENSG00000079691,6.302,4.773
ENSG00000146047,51.02,3.728
ENSG00000286522,33.39,13.81
ENSG00000276410,147.1,60.48
ENSG00000287080,16.75,13.02
ENSG00000187837,895.8,1048.0
ENSG00000180596,2366.0,2189.0
ENSG00000180573,1136.0,1171.0
ENSG00000168298,613.0,603.3
ENSG00000158373,613.8,443.5
ENSG00000274290,281.0,158.6
ENSG00000197409,50.08,34.79
ENSG00000196866,90.44,62.83
ENSG00000277224,331.6,195.8
ENSG00000273802,1.728,1.22
ENSG00000277075,14.31,33.7
ENSG00000275713,7.235,5.112
ENSG00000278588,101.2,118.1
ENSG00000186470,9.574,14.71
ENSG00000124635,47.95,25.97
ENSG00000196787,319.5,201.8
ENSG00000197903,141.3,172.1
ENSG00000274997,13.58,38.39
ENSG00000185130,364.0,369.3
ENSG00000278828,30.07,14.93
ENSG00000276368,1.751,3.711
ENSG00000273703,4.309,4.871
ENSG00000275221,304.2,237.3
