,reaction_expression
MAR03935,56.88366961
MAR04681,55.24688239
MAR04682,141.04004029
MAR04683,205.19359593
MAR04685,205.19359593
MAR04686,205.19359593
MAR04687,205.19359593
MAR04702,-1.0
MAR04703,32.11929178
MAR04704,32.11929178
MAR06988,76.22751838
MAR07689,171.82014252
MAR07701,49.14613008
MAR08094,39.72928942
MAR08529,65.0888626
MAR08530,351.35656764
MAR08533,19.21630692
MAR08534,171.82014252
MAR08535,171.82014252
MAR08537,43.70434405
MAR08541,19.21630692
MAR08542,19.21630692
MAR08543,76.22751838
MAR08544,76.22751838
MAR08630,19.21630692
MAR08540,-1.0
MAR03206,19.76898832
MAR03208,29.95108016
MAR03213,20.74680924
MAR03215,-1.0
MAR03747,43.47051733
MAR03744,39.09158012
MAR03757,110.28119502000001
MAR03761,65.30143237
MAR03777,43.47051733
MAR03778,39.09158012
MAR03795,65.30143237
MAR04797,243.24358421
MAR06417,74.5694742
MAR06419,24.46678016
MAR06420,74.5694742
MAR06421,24.46678016
MAR06422,74.5694742
MAR06923,43.47051733
MAR03765,39.09158012
MAR06924,86.89852069
MAR06925,1296.1994213200003
MAR06926,32.3531185
MAR06927,32.3531185
MAR08088,23.14884761
MAR08787,31.26901269
MAR03743,89.64067068
MAR03940,34.20247548
MAR04214,58.01028936
MAR04216,19.5989325
MAR04218,34.67012898
MAR04219,19.5989325
MAR04220,43.10914871
MAR04222,76.61014396
MAR04224,34.67012898
MAR04225,34.67012898
MAR04227,54.84299984
MAR04231,25.2532883
MAR04232,-1.0
MAR04233,-1.0
MAR04235,-1.0
MAR04243,19.13127902
MAR04244,76.61014396
MAR04245,-1.0
MAR04246,76.61014396
MAR04248,-1.0
MAR06707,55.24688239
MAR06708,-1.0
MAR06709,-1.0
MAR06711,125.9263299
MAR06712,-1.0
MAR06713,75.95117769000001
MAR06714,243.24358421
MAR06715,24.29672435
MAR06716,35.92429059
MAR06717,19.5989325
MAR06718,55.24688239
MAR06719,75.95117769000001
MAR06720,-1.0
MAR06721,-1.0
MAR06722,61.92157308
MAR06723,938.8462607069998
MAR06725,130.13521126
MAR06726,29.10080107
MAR06727,27.76161154
MAR06728,43.70434405
MAR06729,19.21630692
MAR06730,24.29672435
MAR06731,55.24688239
MAR06734,-1.0
MAR06735,24.29672435
MAR06736,24.29672435
MAR06738,-1.0
MAR06739,24.29672435
MAR06740,55.24688239
MAR06741,30.37621967
MAR06742,-1.0
MAR06743,65.85411377
MAR06744,-1.0
MAR06745,75.95117769000001
MAR06746,24.29672435
MAR06747,75.95117769000001
MAR06748,205.19359593
MAR06749,205.19359593
MAR06750,24.29672435
MAR06751,75.95117769000001
MAR06752,75.95117769000001
MAR06753,205.19359593
MAR06754,205.19359593
MAR06755,24.29672435
MAR06756,351.35656764
MAR06757,24.29672435
MAR06758,141.04004029
MAR06759,-1.0
MAR06760,205.19359593
MAR06761,205.19359593
MAR06762,24.29672435
MAR06763,24.29672435
MAR06764,75.95117769000001
MAR06765,-1.0
MAR06766,205.19359593
MAR06767,205.19359593
MAR06768,130.13521126
MAR06770,72.80514515
MAR06771,27.76161154
MAR06772,29.10080107
MAR06774,50.08143706
MAR06776,53.33375449
MAR06778,55.39568125
MAR06782,-1.0
MAR06783,-1.0
MAR06784,-1.0
MAR06785,-1.0
MAR06786,-1.0
MAR06787,55.24688239
MAR06788,150.22305425
MAR06789,141.04004029
MAR06790,205.19359593
MAR06791,205.19359593
MAR06792,-1.0
MAR06798,597.8737261829999
MAR06799,597.8737261829999
MAR06800,597.8737261829999
MAR06801,597.8737261829999
MAR06802,-1.0
MAR06803,19.21630692
MAR06806,-1.0
MAR06807,-1.0
MAR06808,124.86348103
MAR06811,938.8462607069998
MAR06813,226.98199701000001
MAR06814,59.11565216
MAR06815,938.8462607069998
MAR06817,59.11565216
MAR06818,-1.0
MAR06819,59.11565216
MAR06820,938.8462607069998
MAR06822,-1.0
MAR06823,59.11565216
MAR06824,938.8462607069998
MAR06826,109.66474272
MAR06827,109.66474272
MAR06828,597.8737261829999
MAR06829,1173.9165373600003
MAR06830,597.8737261829999
MAR06831,32.48066036
MAR06834,109.66474272
MAR06835,109.66474272
MAR06836,597.8737261829999
MAR06837,597.8737261829999
MAR06838,137.95777866999998
MAR06839,32.48066036
MAR06840,109.66474272
MAR06841,109.66474272
MAR06842,597.8737261829999
MAR06843,597.8737261829999
MAR06844,137.95777866999998
MAR06845,32.48066036
MAR06848,109.66474272
MAR06849,109.66474272
MAR06850,137.95777866999998
MAR06851,32.48066036
MAR06854,109.66474272
MAR06855,109.66474272
MAR06874,19.21630692
MAR06875,-1.0
MAR06876,-1.0
MAR06877,-1.0
MAR06878,-1.0
MAR06879,-1.0
MAR06880,-1.0
MAR06881,-1.0
MAR06882,-1.0
MAR06883,938.8462607069998
MAR06885,59.11565216
