,reaction_expression
MAR04418,-1.0
MAR04419,58.6
MAR04421,92.8
MAR04449,-1.0
MAR04450,-1.0
MAR04451,-1.0
MAR04452,-1.0
MAR04453,-1.0
MAR04480,-1.0
MAR04481,-1.0
MAR04482,-1.0
MAR04486,-1.0
MAR04487,-1.0
MAR04488,-1.0
MAR04489,-1.0
MAR04492,-1.0
MAR04493,-1.0
MAR04495,-1.0
MAR04496,-1.0
MAR04518,51.6
MAR04519,-1.0
MAR04520,-1.0
MAR04573,92.8
MAR04574,-1.0
MAR04600,106.3
MAR04602,-1.0
MAR04603,-1.0
MAR04611,10.6
MAR04612,10.6
MAR04614,10.6
MAR04615,10.6
MAR04617,10.6
MAR04618,10.6
MAR04619,10.6
MAR04621,10.6
MAR04632,-1.0
MAR04646,-1.0
MAR04648,-1.0
MAR04649,-1.0
MAR04650,-1.0
MAR04651,-1.0
MAR04663,-1.0
MAR04664,-1.0
MAR04694,-1.0
MAR04695,-1.0
MAR04705,-1.0
MAR04709,-1.0
MAR04799,8.5
MAR04802,8.5
MAR04804,9.5
MAR04808,-1.0
MAR04810,9.5
MAR04812,-1.0
MAR04814,10.8
MAR05301,-1.0
MAR05353,189.0
MAR06601,-1.0
MAR06602,67.9
MAR06603,67.9
MAR06605,-1.0
MAR06606,-1.0
MAR06607,-1.0
MAR06609,-1.0
MAR06610,-1.0
MAR06611,-1.0
MAR07144,-1.0
MAR08755,-1.0
MAR09797,-1.0
MAR04016,-1.0
MAR04018,-1.0
MAR04044,-1.0
MAR04291,-1.0
MAR04420,-1.0
MAR04570,-1.0
MAR04572,-1.0
MAR04006,-1.0
MAR04028,-1.0
MAR04030,-1.0
MAR04670,-1.0
MAR04673,-1.0
MAR04675,-1.0
MAR06614,-1.0
MAR06615,-1.0
MAR06616,-1.0
MAR04635,-1.0
MAR03793,-1.0
MAR03931,-1.0
MAR03969,52.7
MAR03970,-1.0
MAR04008,-1.0
MAR04032,-1.0
MAR04034,28.3
MAR04036,215.6
MAR04050,28.3
MAR04056,-1.0
MAR04059,-1.0
MAR04060,-1.0
MAR04127,-1.0
MAR04177,-1.0
MAR04179,-1.0
MAR04182,-1.0
MAR04183,-1.0
MAR04192,-1.0
MAR04194,-1.0
MAR04210,92.8
MAR04211,21.7
MAR04343,105.4
MAR04345,-1.0
MAR04346,310.5
MAR04470,-1.0
MAR04471,-1.0
MAR04472,-1.0
MAR04484,-1.0
MAR04485,200.7
MAR04510,-1.0
MAR04512,-1.0
MAR04513,448.5
MAR04514,178.3
MAR04577,215.6
MAR04579,-1.0
MAR04580,178.3
MAR04608,28.3
MAR04575,0.3
MAR04637,-1.0
MAR04642,-1.0
MAR04643,33.2
MAR04644,-1.0
MAR04672,-1.0
MAR04676,-1.0
MAR04736,190.6
MAR04819,2916.6
MAR05299,-1.0
MAR05352,-1.0
MAR05415,10.6
MAR05416,10.6
MAR05417,-1.0
MAR06612,-1.0
MAR06613,-1.0
MAR06621,10.6
MAR06622,10.6
MAR06623,-1.0
MAR06624,-1.0
MAR06627,92.8
MAR07744,-1.0
MAR08072,-1.0
MAR08637,-1.0
MAR03965,11.5
MAR03966,21.7
MAR03967,-1.0
MAR03968,-1.0
MAR03999,-1.0
MAR04024,-1.0
MAR04026,-1.0
MAR04054,-1.0
MAR04061,-1.0
MAR04083,449.0
MAR04136,-1.0
MAR04180,-1.0
MAR04185,-1.0
MAR04186,-1.0
MAR04342,-1.0
MAR04344,-1.0
MAR04483,-1.0
MAR04507,39.5
MAR04516,-1.0
MAR04601,106.3
MAR04633,-1.0
MAR04640,-1.0
MAR04641,-1.0
MAR04680,-1.0
MAR04806,8.5
MAR05394,-1.0
MAR06625,-1.0
MAR06626,-1.0
MAR07160,-1.0
MAR07161,0.1
MAR07162,0.1
MAR07163,-1.0
MAR07164,-1.0
MAR07713,-1.0
MAR07716,-1.0
MAR07717,-1.0
MAR07721,-1.0
MAR07725,-1.0
MAR07728,-1.0
MAR07800,35.6
MAR07801,7.0
MAR07802,35.6
MAR07863,-1.0
MAR07864,-1.0
MAR07865,-1.0
MAR07866,-1.0
MAR07867,-1.0
MAR07868,-1.0
MAR07869,-1.0
MAR07870,-1.0
MAR07871,-1.0
MAR07872,-1.0
MAR07873,-1.0
MAR07874,-1.0
MAR07875,-1.0
MAR07876,-1.0
MAR07878,-1.0
MAR07879,21.7
MAR07880,71.9
MAR07881,-1.0
MAR07882,-1.0
MAR07883,-1.0
MAR07884,-1.0
MAR07885,-1.0
MAR07886,-1.0
MAR07887,-1.0
MAR07888,-1.0
MAR07889,-1.0
MAR07890,-1.0
MAR07891,-1.0
MAR07892,-1.0
MAR07893,-1.0
MAR07894,-1.0
MAR07895,-1.0
MAR08083,-1.0
MAR08085,-1.0
MAR08087,-1.0
MAR08443,-1.0
MAR08444,-1.0
MAR08445,-1.0
MAR08446,-1.0
MAR08448,-1.0
MAR08449,-1.0
MAR08450,-1.0
MAR08451,-1.0
MAR08452,-1.0
MAR08453,-1.0
MAR08454,-1.0
MAR08455,-1.0
MAR08456,-1.0
MAR08457,-1.0
MAR08458,-1.0
MAR08459,-1.0
MAR08460,-1.0
MAR08461,35.6
MAR08462,-1.0
MAR08463,-1.0
MAR08464,-1.0
MAR08465,-1.0
MAR08466,-1.0
MAR08467,-1.0
MAR08468,-1.0
MAR08469,-1.0
MAR08470,-1.0
MAR08471,-1.0
MAR08472,-1.0
MAR08473,-1.0
MAR08474,-1.0
MAR08477,448.5
MAR08478,448.5
MAR08479,448.5
MAR08480,-1.0
MAR08481,-1.0
MAR08482,-1.0
MAR08483,11.5
MAR08484,-1.0
MAR08485,-1.0
MAR08486,-1.0
MAR08487,98.5
MAR08488,21.7
MAR08489,21.7
MAR08493,18.7
MAR08494,18.7
MAR08495,18.7
MAR03802,-1.0
MAR03804,-1.0
MAR03811,28.7
MAR03813,487.3
MAR03822,15.5
MAR03827,14.2
MAR03829,177.4
MAR03862,-1.0
MAR03865,14.2
MAR03870,34.7
MAR03873,44.7
MAR08654,44.7
MAR03890,12.4
MAR03892,13.1
MAR09802,6.6
MAR03899,-1.0
MAR03903,13.3
MAR04109,-1.0
MAR04114,66.4
MAR04115,66.4
MAR04118,34.7
MAR04172,-1.0
MAR04196,-1.0
MAR04197,23.6
MAR04287,5.2
MAR04690,42.4
MAR04693,-1.0
MAR06780,-1.0
MAR06968,-1.0
MAR06969,22593.0
MAR06970,-1.0
MAR06971,57.9
MAR06972,57.9
MAR07641,-1.0
MAR07642,-1.0
MAR08626,-1.0
MAR08628,22593.0
MAR03806,15.5
MAR03807,16.0
MAR03809,12.6
MAR03816,27.4
MAR03819,15.5
MAR03820,15.5
MAR03832,-1.0
MAR03833,111.5
MAR03835,111.5
MAR03837,-1.0
MAR03895,451.0
MAR03897,451.0
MAR03956,-1.0
MAR03993,-1.0
MAR04073,0.5
MAR04075,3375.9
MAR04077,3428.4
MAR04190,-1.0
MAR04191,10.0
MAR04212,5.3
MAR04422,5.3
MAR04423,37.2
MAR04424,174.4
MAR04583,6.6
MAR04605,-1.0
MAR04606,-1.0
MAR04607,8.7
MAR04776,259.5
MAR04777,259.5
MAR04778,-1.0
MAR04779,-1.0
MAR04780,-1.0
MAR04781,-1.0
MAR04784,15.5
MAR04785,15.5
MAR04786,191.6
MAR04787,-1.0
MAR05384,52.0
MAR06929,49.0
MAR06930,49.0
MAR06931,37.2
MAR06932,37.2
MAR06933,37.2
MAR06934,37.2
MAR06935,37.2
MAR06936,37.2
MAR06938,49.0
MAR06939,49.0
MAR06940,-1.0
MAR06941,37.2
MAR06942,37.2
MAR06943,37.2
MAR06944,37.2
MAR06945,37.2
MAR06946,37.2
MAR06947,37.2
MAR06948,37.2
MAR06949,37.2
MAR06950,37.2
MAR06951,37.2
MAR06952,37.2
MAR06953,-1.0
MAR06954,-1.0
MAR06955,-1.0
MAR06956,-1.0
MAR06957,-1.0
MAR06958,55.1
MAR06959,55.1
MAR06960,-1.0
MAR06961,55.1
MAR06962,55.1
MAR06963,55.1
MAR06964,55.1
MAR06965,33.9
MAR06966,33.9
MAR06967,33.9
MAR06973,-1.0
MAR08096,15.5
MAR08097,15.5
MAR08098,14.2
MAR08416,-1.0
MAR08425,-1.0
MAR08426,4.6
MAR08427,-1.0
MAR08431,-1.0
MAR08432,17.5
MAR08603,49.0
MAR08604,-1.0
MAR08605,-1.0
MAR08606,37.2
MAR08607,-1.0
MAR08608,1.8
MAR08609,-1.0
MAR08610,-1.0
MAR08611,35.7
MAR04285,85.5
MAR00457,-1.0
MAR00460,-1.0
MAR03750,-1.0
MAR03752,-1.0
MAR03770,-1.0
MAR03771,-1.0
MAR03772,-1.0
MAR03782,-1.0
MAR03784,-1.0
MAR03794,-1.0
MAR03839,37.8
MAR03841,222.8
MAR03843,796.5999999999999
MAR03845,-1.0
MAR03847,15.3
MAR03849,-1.0
MAR03852,-1.0
MAR03856,0.2
MAR03860,-1.0
MAR03883,-1.0
MAR03901,11.4
MAR03939,-1.0
MAR03974,-1.0
MAR04198,-1.0
MAR04199,-1.0
MAR04200,-1.0
MAR04284,-1.0
MAR04348,62.0
MAR04466,-1.0
MAR04467,-1.0
MAR04582,-1.0
MAR04584,-1.0
MAR04696,2.9
MAR04697,-1.0
MAR04698,-1.0
MAR04699,41.7
MAR04700,123.7
MAR04742,-1.0
MAR04788,-1.0
MAR04789,1.8
MAR04791,-1.0
MAR04792,-1.0
MAR04937,47.6
MAR05392,58.8
MAR05393,43.3
MAR06409,50.6
MAR07702,0.2
MAR07703,-1.0
MAR08433,13.5
MAR08434,13.5
MAR08439,67.4
MAR08440,-1.0
MAR08441,2.9
MAR08442,-1.0
MAR09718,-1.0
MAR09486,-1.0
MAR04426,-1.0
MAR04428,249.4
MAR04429,2.6
MAR04430,-1.0
