,sample_1,sample_2,sample_3,sample_4
MAR04464,-1.0,-1.0,-1.0,-1.0
MAR04497,-1.0,-1.0,-1.0,-1.0
MAR04741,35.0,92.2,135.3,349.4
MAR08078,-1.0,-1.0,-1.0,-1.0
MAR09803,-1.0,-1.0,-1.0,-1.0
MAR09804,653.5,746.8999999999999,1867.7999999999997,2095.9
MAR00718,-1.0,-1.0,-1.0,-1.0
MAR00719,25.3,64.5,115.2,101.4
MAR01434,21.4,27.7,225.1,41.6
MAR01436,3.9,12.3,3.3,5.7
MAR03163,120.5,353.5,1001.8,803.8
MAR04461,134.2,261.3,208.0,802.6
MAR04604,40.8,15.4,441.9,18.5
MAR05351,435.6,2511.0,11.4,2857.5
MAR07709,79.7,150.6,825.2,234.6
MAR04052,62.300000000000004,86.0,63.800000000000004,34.6
MAR04304,11.7,30.7,0.7,17.3
MAR04350,15.6,33.8,37.7,92.6
MAR04351,21.4,6.1,6.2,18.1
MAR04352,21.4,6.1,6.2,18.1
MAR04354,5.8,6.1,10.8,10.7
MAR04398,11.7,61.5,52.8,118.9
MAR04404,68.1,67.6,77.3,211.5
MAR04473,25.3,61.5,63.4,60.8
MAR04474,25.3,61.5,63.4,60.8
MAR04476,3.9,52.2,55.3,174.2
MAR04477,15.6,36.9,18.6,48.9
MAR04501,68.1,67.6,77.3,211.5
MAR04565,142.0,221.3,181.1,293.1
MAR04567,149.7,141.4,66.2,159.0
MAR09799,-1.0,-1.0,-1.0,-1.0
MAR09800,21.4,67.6,387.6,741.7
MAR04623,-1.0,-1.0,-1.0,-1.0
MAR04625,54.5,98.3,100.8,211.3
MAR04710,5.8,6.1,10.8,10.7
MAR04841,107.0,6.1,0.1,0.7
MAR08074,15.6,33.8,37.7,92.6
MAR08653,54.5,98.3,100.8,211.3
MAR03998,29.1,15.399999999999999,128.1,49.0
MAR04000,11.7,9.2,0.8,11.7
MAR04002,235.29999999999998,627.0000000000001,796.0999999999999,1310.7
MAR04004,235.29999999999998,627.0000000000001,796.0999999999999,1310.7
MAR04010,138.20000000000002,218.2,108.6,306.0
MAR04081,138.20000000000002,218.2,108.6,306.0
MAR04082,138.20000000000002,218.2,108.6,306.0
MAR04012,38.9,86.10000000000001,154.0,67.8
MAR04014,50.599999999999994,30.800000000000004,5.1,54.7
MAR04020,212.0,531.7,379.5,784.4
MAR04022,11.7,9.2,0.8,11.7
MAR04038,21.4,24.6,25.1,47.4
MAR04040,46.599999999999994,73.69999999999999,25.7,93.5
MAR04042,60.3,89.1,34.5,97.1
MAR04046,9.7,15.4,10.6,18.9
MAR04048,50.599999999999994,30.800000000000004,5.1,54.7
MAR04080,15.5,33.8,15.100000000000001,5.199999999999999
MAR04085,103.1,375.0,348.6,647.4
MAR04086,103.1,375.0,348.6,647.4
MAR04134,29.1,15.399999999999999,128.1,49.0
MAR04135,212.0,531.7,379.5,784.4
MAR04168,44.7,49.2,35.9,97.8
MAR04171,832.4,528.6,3.8,206.4
MAR04290,1.9,3.1,0.7,0.1
MAR04406,-1.0,-1.0,-1.0,-1.0
MAR04412,70.0,95.3,108.39999999999999,97.0
MAR04417,138.20000000000002,218.2,108.6,306.0
MAR04418,56.4,181.3,21.8,28.4
MAR04419,66.1,135.3,35.8,123.39999999999999
MAR04421,832.4,528.6,3.8,206.4
MAR04449,138.20000000000002,218.2,108.6,306.0
MAR04450,138.20000000000002,218.2,108.6,306.0
MAR04451,-1.0,-1.0,-1.0,-1.0
MAR04452,56.4,181.3,21.8,28.4
MAR04453,9.7,15.4,10.6,18.9
MAR04480,490.0000000000001,1008.2,1410.0000000000002,2132.2000000000003
MAR04481,3.9,9.2,2.7,4.1
MAR04482,3.9,9.2,2.7,4.1
MAR04486,38.9,21.5,0.8,17.900000000000002
MAR04487,38.9,21.5,0.8,17.900000000000002
MAR04488,38.9,21.5,0.8,17.900000000000002
MAR04489,38.9,21.5,0.8,17.900000000000002
MAR04492,38.9,21.5,0.8,17.900000000000002
MAR04493,38.9,21.5,0.8,17.900000000000002
MAR04495,38.9,21.5,0.8,17.900000000000002
MAR04496,38.9,21.5,0.8,17.900000000000002
MAR04518,-1.0,-1.0,-1.0,-1.0
MAR04519,-1.0,-1.0,-1.0,-1.0
MAR04520,-1.0,-1.0,-1.0,-1.0
MAR04573,832.4,528.6,3.8,206.4
MAR04574,50.6,33.8,32.0,83.9
MAR04600,62.2,79.9,82.3,108.9
MAR04602,138.20000000000002,218.2,108.6,306.0
MAR04603,50.6,33.8,32.0,83.9
MAR04611,31.2,6.2,33.6,15.6
MAR04612,31.2,6.2,33.6,15.6
MAR04614,31.2,6.2,33.6,15.6
MAR04615,31.2,6.2,33.6,15.6
MAR04617,31.2,6.2,33.6,15.6
MAR04618,31.2,6.2,33.6,15.6
MAR04619,31.2,6.2,33.6,15.6
MAR04621,31.2,6.2,33.6,15.6
MAR04632,138.20000000000002,218.2,108.6,306.0
MAR04646,-1.0,-1.0,-1.0,-1.0
MAR04648,-1.0,-1.0,-1.0,-1.0
MAR04649,-1.0,-1.0,-1.0,-1.0
MAR04650,-1.0,-1.0,-1.0,-1.0
MAR04651,50.6,33.8,32.0,83.9
MAR04663,50.6,33.8,32.0,83.9
MAR04664,56.4,181.3,21.8,28.4
MAR04694,3.9,9.2,2.7,4.1
MAR04695,50.6,33.8,32.0,83.9
MAR04705,138.20000000000002,218.2,108.6,306.0
MAR04709,50.6,33.8,32.0,83.9
MAR04799,15.6,15.4,17.8,12.7
MAR04802,15.6,15.4,17.8,12.7
MAR04804,33.1,24.6,81.2,41.6
MAR04808,-1.0,-1.0,-1.0,-1.0
MAR04810,33.1,24.6,81.2,41.6
MAR04812,70.0,95.3,108.39999999999999,97.0
MAR04814,21.4,24.6,25.1,47.4
MAR05301,36.9,42.9,38.4,48.7
MAR05353,212.0,531.7,379.5,784.4
MAR06601,-1.0,-1.0,-1.0,-1.0
MAR06602,260.6,713.0,1371.6,724.4
MAR06603,260.6,713.0,1371.6,724.4
MAR06605,-1.0,-1.0,-1.0,-1.0
MAR06606,-1.0,-1.0,-1.0,-1.0
MAR06607,-1.0,-1.0,-1.0,-1.0
MAR06609,-1.0,-1.0,-1.0,-1.0
MAR06610,-1.0,-1.0,-1.0,-1.0
MAR06611,-1.0,-1.0,-1.0,-1.0
MAR07144,58.3,116.8,218.3,173.2
MAR08755,-1.0,-1.0,-1.0,-1.0
MAR09797,-1.0,-1.0,-1.0,-1.0
MAR04016,264.5,436.40000000000003,409.5,531.5
MAR04018,264.5,436.40000000000003,409.5,531.5
MAR04044,264.5,436.40000000000003,409.5,531.5
MAR04291,264.5,436.40000000000003,409.5,531.5
MAR04420,264.5,436.40000000000003,409.5,531.5
MAR04570,264.5,436.40000000000003,409.5,531.5
MAR04572,264.5,436.40000000000003,409.5,531.5
MAR04006,264.5,436.40000000000003,409.5,531.5
MAR04028,264.5,436.40000000000003,409.5,531.5
MAR04030,264.5,436.40000000000003,409.5,531.5
MAR04670,264.5,436.40000000000003,409.5,531.5
MAR04673,264.5,436.40000000000003,409.5,531.5
MAR04675,264.5,436.40000000000003,409.5,531.5
MAR06614,264.5,436.40000000000003,409.5,531.5
MAR06615,264.5,436.40000000000003,409.5,531.5
MAR06616,264.5,436.40000000000003,409.5,531.5
MAR04635,264.5,436.40000000000003,409.5,531.5
MAR03793,7.8,18.4,105.3,266.4
MAR03931,27.2,40.0,76.0,41.9
MAR03969,27.2,24.5,26.4,34.5
MAR03970,138.20000000000002,218.2,108.6,306.0
MAR04008,70.0,175.2,235.9,267.0
MAR04032,3.9,6.1,8.1,3.1
MAR04034,-1.0,-1.0,-1.0,-1.0
MAR04036,9.7,27.7,35.7,23.6
MAR04050,-1.0,-1.0,-1.0,-1.0
MAR04056,138.20000000000002,218.2,108.6,306.0
MAR04059,29.1,15.399999999999999,128.1,49.0
MAR04060,29.1,15.399999999999999,128.1,49.0
MAR04127,33.1,144.5,27.2,143.2
MAR04177,138.20000000000002,218.2,108.6,306.0
MAR04179,138.20000000000002,218.2,108.6,306.0
MAR04182,72.0,42.9,201.9,122.79999999999998
MAR04183,1.9,3.1,0.7,0.1
MAR04192,1.9,3.1,0.7,0.1
MAR04194,3.9,6.1,8.1,3.1
MAR04210,832.4,528.6,3.8,206.4
MAR04211,44.7,49.2,35.9,97.8
MAR04343,7.8,12.3,5.8,18.1
MAR04345,7.8,6.1,49.9,5.8
MAR04346,15.6,15.4,393.7,373.4
MAR04470,7.8,6.1,49.9,5.8
MAR04471,7.8,6.1,49.9,5.8
MAR04472,7.8,6.1,49.9,5.8
MAR04484,138.20000000000002,218.2,108.6,306.0
MAR04485,33.1,30.7,80.9,125.8
MAR04510,138.20000000000002,218.2,108.6,306.0
MAR04512,70.0,175.2,235.9,267.0
MAR04513,9.7,15.4,7.3,11.6
MAR04514,13.6,55.3,135.1,0.6
MAR04577,9.7,27.7,35.7,23.6
MAR04579,35.0,70.6,31.1,91.69999999999999
MAR04580,13.6,55.3,135.1,0.6
MAR04608,-1.0,-1.0,-1.0,-1.0
MAR04575,5.8,6.1,132.4,18.3
MAR04637,25.3,21.5,21.7,39.1
MAR04642,62.3,70.7,44.6,135.9
MAR04643,132.2,230.5,119.30000000000001,324.4
MAR04644,-1.0,-1.0,-1.0,-1.0
MAR04672,-1.0,-1.0,-1.0,-1.0
MAR04676,36.9,42.9,38.4,48.7
MAR04736,15.6,15.4,393.7,373.4
MAR04819,1.9,3.1,135.2,49.5
MAR05299,36.9,42.9,38.4,48.7
MAR05352,36.9,42.9,38.4,48.7
MAR05415,31.2,6.2,33.6,15.6
MAR05416,31.2,6.2,33.6,15.6
MAR05417,42.8,92.2,119.39999999999999,90.3
MAR06612,25.3,21.5,21.7,39.1
MAR06613,25.3,21.5,21.7,39.1
MAR06621,31.2,6.2,33.6,15.6
MAR06622,31.2,6.2,33.6,15.6
MAR06623,13.6,3.1,9.4,13.4
MAR06624,27.2,18.4,47.3,40.8
MAR06627,832.4,528.6,3.8,206.4
MAR07744,9.7,9.2,10.2,13.5
MAR08072,-1.0,-1.0,-1.0,-1.0
MAR08637,-1.0,-1.0,-1.0,-1.0
MAR03965,87.5,181.3,83.4,226.6
MAR03966,44.7,49.2,35.9,97.8
MAR03967,70.0,175.2,235.9,267.0
MAR03968,25.3,21.5,21.7,39.1
MAR03999,1.9,3.1,0.7,0.1
MAR04024,70.0,175.2,235.9,267.0
MAR04026,-1.0,-1.0,-1.0,-1.0
