,reaction_expression
MAR07160,139.89999999999998
MAR07161,1.9
MAR07162,1.9
MAR07163,15.6
MAR07164,15.6
MAR07713,138.20000000000002
MAR07716,138.20000000000002
MAR07717,138.20000000000002
MAR07721,138.20000000000002
MAR07725,138.20000000000002
MAR07728,138.20000000000002
MAR07800_f,-1.0
MAR07801_f,48.6
MAR07802_f,-1.0
MAR07863_f,70.0
MAR07864_f,70.0
MAR07865_f,70.0
MAR07866_f,70.0
MAR07867_f,70.0
MAR07868_f,70.0
MAR07869_f,70.0
MAR07870_f,70.0
MAR07871_f,70.0
MAR07872_f,70.0
MAR07873_f,70.0
MAR07874_f,70.0
MAR07875_f,-1.0
MAR07876_f,70.0
MAR07878_f,264.5
MAR07879,44.7
MAR07880,54.5
MAR07881_f,73.89999999999999
MAR07882_f,73.89999999999999
MAR07883_f,272.3
MAR07884_f,73.89999999999999
MAR07885_f,73.89999999999999
MAR07886_f,272.3
MAR07887_f,73.89999999999999
MAR07888_f,73.89999999999999
MAR07889_f,73.89999999999999
MAR07890_f,272.3
MAR07891_f,73.89999999999999
MAR07892_f,73.89999999999999
MAR07893_f,73.89999999999999
MAR07894_f,272.3
MAR07895_f,272.3
MAR08083,50.599999999999994
MAR08085,50.599999999999994
MAR08087,50.599999999999994
MAR08443,58.3
MAR08444,58.3
MAR08445,36.9
MAR08446,-1.0
MAR08448_f,70.0
MAR08449_f,70.0
MAR08450_f,70.0
MAR08451_f,70.0
MAR08452_f,70.0
MAR08453_f,70.0
MAR08454_f,70.0
MAR08455_f,70.0
MAR08456_f,70.0
MAR08457_f,70.0
MAR08458_f,70.0
MAR08459_f,70.0
MAR08460_f,70.0
MAR08461_f,-1.0
MAR08462_f,70.0
MAR08463_f,70.0
MAR08464_f,70.0
MAR08465_f,70.0
MAR08466_f,70.0
MAR08467_f,70.0
MAR08468_f,70.0
MAR08469_f,70.0
MAR08470_f,70.0
MAR08471_f,70.0
MAR08472_f,70.0
MAR08473,-1.0
MAR08474,29.1
MAR08477_f,9.7
MAR08478_f,9.7
MAR08479_f,9.7
MAR08480,-1.0
MAR08481_f,-1.0
MAR08482,15.6
MAR08483,87.5
MAR08484,-1.0
MAR08485,17.5
MAR08486_f,50.6
MAR08487,15.6
MAR08488,44.7
MAR08489,44.7
MAR08493,7.8
MAR08494,7.8
MAR08495,7.8
MAR03802_f,60.3
MAR03804_f,60.3
MAR03811,37.0
MAR03813_f,29.2
MAR03822,40.8
MAR03827_f,40.8
MAR03829_f,64.2
MAR03862,23.3
MAR03865,40.8
MAR03870,9.7
MAR03873,-1.0
MAR08654,-1.0
MAR03890,89.5
MAR03892,355.9
MAR09802,-1.0
MAR03899_f,5.8
MAR03903,-1.0
MAR04109_f,13.6
MAR04114,31.1
MAR04115,31.1
MAR04118,9.7
MAR04172,23.3
MAR04196,-1.0
MAR04197,11.7
MAR04287,289.8
MAR04690,-1.0
MAR04693_f,1.9
MAR06780,40.8
MAR06968_f,-1.0
MAR06969_f,13.6
MAR06970_f,5.8
MAR06971_f,42.8
MAR06972_f,42.8
MAR07641,-1.0
MAR07642_f,-1.0
MAR08626,-1.0
MAR08628,13.6
MAR03806_f,40.8
MAR03807_f,23.3
MAR03809_f,-1.0
MAR03816,-1.0
MAR03819_f,40.8
