,sample_1,sample_2,sample_3,sample_4,sample_5
"('MAR04372', 'ENSG00000119640 or ENSG00000170634')","{'ENSG00000119640': ('ENSG00000119640', 0.06847068470684707, 16.7), 'ENSG00000170634': ('ENSG00000170634', 0.931529315293153, 227.2)}","{'ENSG00000119640': ('ENSG00000119640', 0.4689725330620549, 46.1), 'ENSG00000170634': ('ENSG00000170634', 0.531027466937945, 52.2)}","{'ENSG00000119640': ('ENSG00000119640', 0.5034642032332564, 21.8), 'ENSG00000170634': ('ENSG00000170634', 0.4965357967667437, 21.5)}","{'ENSG00000119640': ('ENSG00000119640', 0.05527123848515865, 5.4), 'ENSG00000170634': ('ENSG00000170634', 0.9447287615148413, 92.3)}","{'ENSG00000119640': ('ENSG00000119640', 0.28947368421052627, 23.1), 'ENSG00000170634': ('ENSG00000170634', 0.7105263157894737, 56.7)}"
"('MAR04373', 'ENSG00000105679 or ENSG00000111640')","{'ENSG00000111640': ('ENSG00000111640', 1, 555.1)}","{'ENSG00000111640': ('ENSG00000111640', 1, 2695.4)}","{'ENSG00000111640': ('ENSG00000111640', 1, 1406.1)}","{'ENSG00000111640': ('ENSG00000111640', 1, 2146.8)}","{'ENSG00000111640': ('ENSG00000111640', 1, 6752.7)}"
"('MAR04375', 'ENSG00000109107 or ENSG00000136872 or ENSG00000149925')","{'ENSG00000109107': ('ENSG00000109107', 0.7293814432989691, 28.3), 'ENSG00000149925': ('ENSG00000149925', 0.27061855670103097, 10.5)}","{'ENSG00000109107': ('ENSG00000109107', 0.03150406504065041, 3.1), 'ENSG00000149925': ('ENSG00000149925', 0.9684959349593496, 95.3)}","{'ENSG00000109107': ('ENSG00000109107', 0.23937360178970915, 10.7), 'ENSG00000149925': ('ENSG00000149925', 0.7606263982102908, 34.0)}","{'ENSG00000109107': ('ENSG00000109107', 0.9503858875413451, 86.2), 'ENSG00000149925': ('ENSG00000149925', 0.04961411245865491, 4.5)}","{'ENSG00000109107': ('ENSG00000109107', 0.02631578947368421, 2.2), 'ENSG00000149925': ('ENSG00000149925', 0.9736842105263157, 81.4)}"
"('MAR04377', 'ENSG00000130957 or ENSG00000165140')",{},{},{},{},{}
"('MAR04381', 'ENSG00000105220')","{'ENSG00000105220': ('ENSG00000105220', 1, 252.1)}","{'ENSG00000105220': ('ENSG00000105220', 1, 83.0)}","{'ENSG00000105220': ('ENSG00000105220', 1, 45.0)}","{'ENSG00000105220': ('ENSG00000105220', 1, 106.6)}","{'ENSG00000105220': ('ENSG00000105220', 1, 98.5)}"
"('MAR04391', 'ENSG00000111669')","{'ENSG00000111669': ('ENSG00000111669', 1, 619.7)}","{'ENSG00000111669': ('ENSG00000111669', 1, 1189.4)}","{'ENSG00000111669': ('ENSG00000111669', 1, 309.7)}","{'ENSG00000111669': ('ENSG00000111669', 1, 608.4)}","{'ENSG00000111669': ('ENSG00000111669', 1, 1501.3)}"
"('MAR04394', 'ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883')","{'ENSG00000156515': ('ENSG00000156515', 1, 137.2)}","{'ENSG00000156515': ('ENSG00000156515', 1, 18.4)}","{'ENSG00000156515': ('ENSG00000156515', 1, 34.2)}","{'ENSG00000156515': ('ENSG00000156515', 1, 0.6)}","{'ENSG00000156515': ('ENSG00000156515', 1, 1.1)}"
"('MAR04396', 'ENSG00000079739 or ENSG00000169299')","{'ENSG00000079739': ('ENSG00000079739', 0.9564134495641345, 153.6), 'ENSG00000169299': ('ENSG00000169299', 0.043586550435865505, 7.0)}","{'ENSG00000079739': ('ENSG00000079739', 0.8953687821612349, 52.2), 'ENSG00000169299': ('ENSG00000169299', 0.104631217838765, 6.1)}","{'ENSG00000079739': ('ENSG00000079739', 0.33957219251336895, 12.7), 'ENSG00000169299': ('ENSG00000169299', 0.660427807486631, 24.7)}","{'ENSG00000079739': ('ENSG00000079739', 0.9517857142857142, 213.2), 'ENSG00000169299': ('ENSG00000169299', 0.048214285714285716, 10.8)}","{'ENSG00000079739': ('ENSG00000079739', 0.8398203592814372, 56.1), 'ENSG00000169299': ('ENSG00000169299', 0.16017964071856286, 10.7)}"
"('MAR04521', 'ENSG00000131482 or ENSG00000141349 or ENSG00000152254')",{},{},{},{},{}
"('MAR06412', 'ENSG00000110435 and ENSG00000150768')","{'ENSG00000110435': ('ENSG00000110435', 1, 138.6), 'ENSG00000150768': ('ENSG00000150768', 1, 67.3)}","{'ENSG00000110435': ('ENSG00000110435', 1, 46.1), 'ENSG00000150768': ('ENSG00000150768', 1, 49.2)}","{'ENSG00000110435': ('ENSG00000110435', 1, 11.5), 'ENSG00000150768': ('ENSG00000150768', 1, 9.5)}","{'ENSG00000110435': ('ENSG00000110435', 1, 23.1), 'ENSG00000150768': ('ENSG00000150768', 1, 15.3)}","{'ENSG00000110435': ('ENSG00000110435', 1, 28.1), 'ENSG00000150768': ('ENSG00000150768', 1, 36.8)}"
