,reaction_expression
MAR07879,-1.0
MAR07880,-1.0
MAR07881,495.1
MAR07882,495.1
MAR07883,495.1
MAR07884,495.1
MAR07885,495.1
MAR07886,495.1
MAR07887,495.1
MAR07888,495.1
MAR07889,495.1
MAR07890,495.1
MAR07891,495.1
MAR07892,495.1
MAR07893,495.1
MAR07894,495.1
MAR07895,495.1
MAR08083,0.3751
MAR08085,0.3751
MAR08087,0.3751
MAR08443,69.167
MAR08444,69.167
MAR08445,-1.0
MAR08446,-1.0
MAR08448,-1.0
MAR08449,-1.0
MAR08450,-1.0
MAR08451,-1.0
MAR08452,-1.0
MAR08453,-1.0
MAR08454,-1.0
MAR08455,-1.0
MAR08456,-1.0
MAR08457,-1.0
MAR08458,-1.0
MAR08459,-1.0
MAR08460,-1.0
MAR08461,-1.0
MAR08462,-1.0
MAR08463,-1.0
MAR08464,-1.0
MAR08465,-1.0
MAR08466,-1.0
MAR08467,-1.0
MAR08468,-1.0
MAR08469,-1.0
MAR08470,-1.0
MAR08471,-1.0
MAR08472,-1.0
MAR08473,-1.0
MAR08474,9.094
MAR08477,9.049
MAR08478,9.049
MAR08479,9.049
MAR08480,-1.0
MAR08481,-1.0
MAR08482,31.71
MAR08483,-1.0
MAR08484,-1.0
MAR08485,9.094
MAR08486,-1.0
MAR08487,1.228
MAR08488,-1.0
MAR08489,-1.0
MAR08493,-1.0
MAR08494,-1.0
MAR08495,-1.0
MAR03802,12.52
MAR03804,12.52
MAR03811,316.1
MAR03813,-1.0
MAR03822,-1.0
MAR03827,-1.0
MAR03829,119.3
MAR03862,-1.0
MAR03865,-1.0
MAR03870,232.2
MAR03873,-1.0
MAR08654,-1.0
MAR03890,128.2
MAR03892,-1.0
MAR09802,-1.0
MAR03899,-1.0
MAR03903,-1.0
MAR04109,-1.0
MAR04114,-1.0
MAR04115,-1.0
MAR04118,232.2
MAR04172,-1.0
MAR04196,-1.0
MAR04197,74.14
MAR04287,331.7
MAR04690,-1.0
MAR04693,-1.0
MAR06780,-1.0
MAR06968,-1.0
MAR06969,-1.0
MAR06970,-1.0
MAR06971,-1.0
MAR06972,-1.0
MAR07641,-1.0
MAR07642,-1.0
MAR08626,-1.0
MAR08628,-1.0
MAR03806,-1.0
MAR03807,-1.0
MAR03809,-1.0
MAR03816,-1.0
MAR03819,-1.0
MAR03820,-1.0
MAR03832,-1.0
MAR03833,-1.0
MAR03835,-1.0
MAR03837,-1.0
MAR03895,-1.0
MAR03897,-1.0
MAR03956,-1.0
MAR03993,-1.0
MAR04073,-1.0
MAR04075,24.87
MAR04077,24.87
MAR04190,-1.0
MAR04191,-1.0
MAR04212,-1.0
MAR04422,-1.0
MAR04423,-1.0
MAR04424,-1.0
MAR04583,-1.0
MAR04605,771.455
MAR04606,-1.0
MAR04607,0.1939
MAR04776,15.94
MAR04777,15.94
MAR04778,-1.0
MAR04779,-1.0
MAR04780,-1.0
MAR04781,-1.0
MAR04784,-1.0
MAR04785,-1.0
MAR04786,119.3
MAR04787,-1.0
MAR05384,-1.0
MAR06929,3399.0
MAR06930,3399.0
MAR06931,-1.0
MAR06932,-1.0
MAR06933,-1.0
MAR06934,-1.0
MAR06935,-1.0
MAR06936,-1.0
MAR06938,3399.0
MAR06939,3399.0
MAR06940,-1.0
MAR06941,-1.0
MAR06942,-1.0
MAR06943,-1.0
MAR06944,-1.0
MAR06945,-1.0
MAR06946,-1.0
MAR06947,-1.0
MAR06948,-1.0
MAR06949,-1.0
MAR06950,-1.0
MAR06951,-1.0
MAR06952,-1.0
MAR06953,-1.0
MAR06954,-1.0
MAR06955,-1.0
MAR06956,-1.0
MAR06957,-1.0
MAR06958,-1.0
MAR06959,-1.0
MAR06960,-1.0
MAR06961,-1.0
MAR06962,-1.0
MAR06963,-1.0
MAR06964,-1.0
MAR06965,-1.0
MAR06966,-1.0
MAR06967,-1.0
MAR06973,-1.0
MAR08096,-1.0
MAR08097,-1.0
MAR08098,-1.0
MAR08416,-1.0
MAR08425,-1.0
MAR08426,-1.0
MAR08427,-1.0
MAR08431,-1.0
MAR08432,-1.0
MAR08603,3399.0
MAR08604,65.00399999999999
MAR08605,771.455
MAR08606,-1.0
MAR08607,-1.0
MAR08608,-1.0
MAR08609,-1.0
MAR08610,-1.0
MAR08611,-1.0
MAR04285,-1.0
MAR00457,-1.0
MAR00460,-1.0
MAR03750,-1.0
MAR03752,-1.0
MAR03770,-1.0
MAR03771,-1.0
MAR03772,-1.0
MAR03782,-1.0
MAR03784,-1.0
MAR03794,-1.0
MAR03839,12.67
MAR03841,60.64
MAR03843,-1.0
MAR03845,-1.0
MAR03847,-1.0
MAR03849,-1.0
MAR03852,-1.0
MAR03856,-1.0
MAR03860,-1.0
MAR03883,-1.0
MAR03901,4.644
MAR03939,170.6
MAR03974,-1.0
MAR04198,-1.0
MAR04199,-1.0
MAR04200,-1.0
MAR04284,-1.0
MAR04348,-1.0
MAR04466,-1.0
MAR04467,-1.0
MAR04582,-1.0
MAR04584,-1.0
MAR04696,-1.0
MAR04697,1.855
MAR04698,1.855
MAR04699,-1.0
MAR04700,-1.0
MAR04742,170.6
MAR04788,16.4
MAR04789,-1.0
MAR04791,-1.0
MAR04792,-1.0
MAR04937,43.14
MAR05392,84.16
MAR05393,245.8
MAR06409,1.17
MAR07702,-1.0
MAR07703,-1.0
MAR08433,-1.0
MAR08434,-1.0
MAR08439,-1.0
MAR08440,1.855
MAR08441,-1.0
MAR08442,-1.0
MAR09718,-1.0
MAR09486,-1.0
MAR04426,24.32
MAR04428,160.0
MAR04429,-1.0
MAR04430,65.00399999999999
MAR04431,-1.0
MAR04437,-1.0
MAR04658,-1.0
MAR04660,-1.0
MAR04712,-1.0
MAR05336,0.4797
MAR05337,21.267
MAR05338,7.7575
MAR05339,0.4797
MAR05340,0.4797
MAR08783,-1.0
MAR08784,771.455
MAR08786,311.45500000000004
MAR04239,1.17
MAR04241,5.013
MAR04288,-1.0
MAR04596,-1.0
MAR04597,-1.0
MAR04599,-1.0
MAR04667,654.6
MAR04668,-1.0
MAR04737,1.855
MAR04739,1.855
MAR04740,-1.0
MAR06415,-1.0
MAR06974,-1.0
MAR06975,2.517
MAR06976,2.517
MAR06977,2.517
MAR06978,2.285
MAR06979,-1.0
MAR06980,-1.0
MAR06981,262.4
MAR06982,-1.0
MAR06983,18.39
MAR06984,18.39
MAR06985,18.39
MAR08017,-1.0
MAR08018,-1.0
MAR08019,-1.0
