,reaction_expression
MAR04220_f,-1.0
MAR04222_f,81.99
MAR04224,-1.0
MAR04225,-1.0
MAR04227,2086.0
MAR04231,0.1173
MAR04232_f,-1.0
MAR04233,-1.0
MAR04235,-1.0
MAR04243,-1.0
MAR04244,81.99
MAR04245,-1.0
MAR04246_f,81.99
MAR04248_f,-1.0
MAR06707,128.0
MAR06708_f,-1.0
MAR06709_f,-1.0
MAR06711,-1.0
MAR06712_f,-1.0
MAR06713,74.27
MAR06714,766.24
MAR06715,98.76
MAR06716,-1.0
MAR06717,-1.0
MAR06718,128.0
MAR06719,74.27
MAR06720,-1.0
MAR06721,-1.0
MAR06722_f,-1.0
MAR06723_f,727.62
MAR06725_f,170.8
MAR06726,-1.0
MAR06727,177.5
MAR06728,-1.0
MAR06729,-1.0
MAR06730,98.76
MAR06731,128.0
MAR06734_f,-1.0
MAR06735,98.76
MAR06736,98.76
MAR06738_f,-1.0
MAR06739,98.76
MAR06740,128.0
MAR06741,-1.0
MAR06742_f,-1.0
MAR06743,-1.0
MAR06744_f,-1.0
MAR06745,74.27
MAR06746,98.76
MAR06747,74.27
MAR06748,-1.0
MAR06749,-1.0
MAR06750,98.76
MAR06751,74.27
MAR06752,74.27
MAR06753,-1.0
MAR06754,-1.0
MAR06755_f,98.76
MAR06756_f,10325.544
MAR06757,98.76
MAR06758,74.27
MAR06759_f,-1.0
MAR06760,-1.0
MAR06761,-1.0
MAR06762,98.76
MAR06763,98.76
MAR06764,74.27
MAR06765_f,-1.0
MAR06766,-1.0
MAR06767,-1.0
MAR06768,170.8
MAR06770,-1.0
MAR06771,177.5
MAR06772,-1.0
MAR06774,-1.0
MAR06776,11.07
MAR06778,80.74
MAR06782,-1.0
MAR06783,-1.0
MAR06784,-1.0
MAR06785,-1.0
MAR06786,-1.0
MAR06787,128.0
MAR06788,98.76
MAR06789,74.27
MAR06790,-1.0
MAR06791,-1.0
MAR06792_f,-1.0
MAR06798_f,7002.745
MAR06799,7002.745
MAR06800_f,7002.745
MAR06801,7002.745
MAR06802,-1.0
MAR06803,-1.0
MAR06806_f,-1.0
MAR06807_f,-1.0
MAR06808,-1.0
MAR06811_f,727.62
MAR06813,-1.0
MAR06814_f,208.3
MAR06815_f,727.62
MAR06817_f,208.3
MAR06818,-1.0
MAR06819_f,208.3
MAR06820_f,727.62
MAR06822,-1.0
MAR06823_f,208.3
MAR06824_f,727.62
MAR06826_f,-1.0
MAR06827_f,-1.0
MAR06828,7002.745
MAR06829,92.19
MAR06830,7002.745
MAR06831,-1.0
MAR06834_f,-1.0
MAR06835_f,-1.0
MAR06836_f,7002.745
MAR06837,7002.745
MAR06838,42.58
MAR06839,-1.0
MAR06840_f,-1.0
MAR06841_f,-1.0
MAR06842_f,7002.745
MAR06843,7002.745
MAR06844,42.58
MAR06845,-1.0
MAR06848_f,-1.0
MAR06849_f,-1.0
MAR06850,42.58
MAR06851,-1.0
MAR06854_f,-1.0
MAR06855_f,-1.0
MAR06874,-1.0
MAR06875_f,-1.0
MAR06876_f,-1.0
MAR06877_f,-1.0
MAR06878_f,-1.0
MAR06879_f,-1.0
MAR06880_f,-1.0
MAR06881,-1.0
MAR06882_f,-1.0
MAR06883_f,727.62
MAR06885_f,208.3
MAR06886_f,727.62
MAR06888,-1.0
MAR06889,-1.0
MAR07628,-1.0
MAR07756,-1.0
MAR08539,-1.0
MAR08794,-1.0
MAR08795,-1.0
MAR08796,-1.0
MAR03875,181.6
MAR03877,30.07
MAR03879,-1.0
MAR03881,-1.0
MAR03912_f,170.8
MAR03917,1.177
MAR03919_f,-1.0
MAR03920_f,-1.0
MAR03922_f,-1.0
MAR03928,1304.0
MAR03995_f,75.59
MAR03996_f,-1.0
MAR04072,2.4442
MAR04189,-1.0
MAR04302,-1.0
MAR04323,-1.0
MAR05381,29.07
MAR05385,-1.0
MAR05386,-1.0
MAR05387,41.2
MAR05388,189.4
MAR05389,189.4
MAR05390,-1.0
MAR05391,-1.0
MAR05418_f,-1.0
MAR05419_f,-1.0
MAR06515,1304.0
MAR06518,1304.0
MAR06519_f,-1.0
MAR06520_f,1304.0
MAR06523_f,-1.0
MAR08062,29.07
MAR08066_f,170.8
MAR08067_f,-1.0
MAR08068_f,56.08
MAR08069_f,305.5
MAR08641,2.4442
MAR08682_f,-1.0
MAR08683,-1.0
MAR08684_f,-1.0
MAR08685,-1.0
MAR03868,249.9
MAR03869,249.9
MAR03889,-1.0
MAR03933_f,1.024
MAR03937,-1.0
MAR04116,5324.1
MAR04120,5324.1
MAR04121,5324.1
MAR04175,37.43
MAR04176,37.43
MAR04324,94.69
MAR04326,-1.0
MAR04328,259.1
MAR04329,259.1
MAR04708,-1.0
MAR08769,37.43
MAR08770,-1.0
MAR08771,-1.0
MAR04078,-1.0
MAR04079,766.24
MAR04174,-1.0
MAR04330_f,-1.0
MAR04347,-1.0
MAR04425,-1.0
MAR04427,0.8218
MAR04688,766.24
MAR04689,307.1
MAR04735_f,104.1
MAR07991,-1.0
MAR07992,-1.0
MAR07993,766.24
MAR07128,32.31
MAR07129,32.31
MAR07130,-1.0
MAR07131_f,75.59
MAR07132,-1.0
MAR07133_f,-1.0
MAR07134_f,-1.0
MAR07135,-1.0
MAR07136_f,30.07
MAR07137_f,-1.0
MAR07138,716.7499999999999
MAR07139_f,181.6
MAR07140_f,-1.0
MAR07141,-1.0
MAR07620,-1.0
MAR07647,-1.0
MAR08640,2.4442
MAR08689,-1.0
MAR08690,-1.0
MAR03748,-1.0
MAR03753,104.1
MAR03755,-1.0
MAR03759,766.24
MAR03763,-1.0
MAR03773,-1.0
MAR03775_f,-1.0
MAR03780,-1.0
MAR03785,104.1
MAR03790,-1.0
MAR03792_f,7.062
MAR03796_f,-1.0
MAR03823_f,72.16
MAR06416,-1.0
MAR03986,-1.0
MAR03988,615.4073
MAR04124,-1.0
MAR04158,-1.0
MAR04159_f,16.72
MAR04299,37.65
MAR04300,0.1226
MAR04494,17.892
MAR04524,-1.0
MAR04525,-1.0
MAR04526,-1.0
MAR04527_f,-1.0
MAR04528,-1.0
MAR04529,-1.0
MAR04530,-1.0
MAR04531,-1.0
MAR04532,-1.0
MAR04533,-1.0
MAR04534,-1.0
MAR04536,-1.0
MAR04628,-1.0
MAR04629,12.93
