,sample_1,sample_2,sample_3,sample_4,sample_5
MAR06621,64.4,6.2,27.0,33.6,15.6
MAR06622,64.4,6.2,27.0,33.6,15.6
MAR06623,-1.0,-1.0,-1.0,-1.0,-1.0
MAR06624,5.3,18.4,16.0,47.3,40.8
MAR06627,298.0,528.6,180.0,3.8,206.4
MAR07744,28.5,9.2,11.8,10.2,13.5
MAR08072,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08637,-1.0,-1.0,-1.0,-1.0,-1.0
MAR03965,185.9,181.3,120.0,83.4,226.6
MAR03966,14.7,49.2,30.0,35.9,97.8
MAR03967,73.9,175.2,79.8,235.9,267.0
MAR03968,8.8,21.5,27.7,21.7,39.1
MAR03999,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04024,73.9,175.2,79.8,235.9,267.0
MAR04026,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04054,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04061,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04083,103.39999999999999,86.10000000000001,30.0,154.0,67.8
MAR04136,1631.1999999999998,9699.800000000001,6204.299999999998,4678.7,15205.6
MAR04180,36.3,42.9,53.8,38.4,48.7
MAR04185,11.9,18.4,26.2,10.0,26.7
MAR04186,11.9,18.4,26.2,10.0,26.7
MAR04342,11.8,12.299999999999999,15.100000000000001,127.4,48.9
MAR04344,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04483,5.3,18.4,16.0,47.3,40.8
MAR04507,29.7,33.8,30.5,48.5,41.3
MAR04516,49.4,98.3,45.9,28.2,81.0
MAR04601,35.3,79.9,65.0,82.3,108.9
MAR04633,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04640,8.8,21.5,27.7,21.7,39.1
MAR04641,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04680,10.7,64.5,102.2,22.6,21.9
MAR04806,20.3,15.4,19.9,17.8,12.7
MAR05394,-1.0,-1.0,-1.0,-1.0,-1.0
MAR06625,5.3,18.4,16.0,47.3,40.8
MAR06626,20.5,61.5,29.4,43.7,134.1
MAR07160,174.6,125.99999999999999,181.69999999999996,112.80000000000001,149.70000000000002
MAR07161,3.8,3.1,3.6,4.2,3.3
MAR07162,3.8,3.1,3.6,4.2,3.3
MAR07163,29.0,24.6,13.5,14.8,16.1
MAR07164,29.0,24.6,13.5,14.8,16.1
MAR07713,61.0,209.0,113.0,107.69999999999999,304.2
MAR07716,61.0,209.0,113.0,107.69999999999999,304.2
MAR07717,61.0,209.0,113.0,107.69999999999999,304.2
MAR07721,61.0,209.0,113.0,107.69999999999999,304.2
MAR07725,61.0,209.0,113.0,107.69999999999999,304.2
MAR07728,61.0,209.0,113.0,107.69999999999999,304.2
MAR07800,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07801,221.1,181.3,56.8,303.3,155.2
MAR07802,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07863,73.9,175.2,79.8,235.9,267.0
MAR07864,73.9,175.2,79.8,235.9,267.0
MAR07865,73.9,175.2,79.8,235.9,267.0
MAR07866,73.9,175.2,79.8,235.9,267.0
MAR07867,73.9,175.2,79.8,235.9,267.0
MAR07868,73.9,175.2,79.8,235.9,267.0
MAR07869,73.9,175.2,79.8,235.9,267.0
MAR07870,73.9,175.2,79.8,235.9,267.0
MAR07871,73.9,175.2,79.8,235.9,267.0
MAR07872,73.9,175.2,79.8,235.9,267.0
MAR07873,73.9,175.2,79.8,235.9,267.0
MAR07874,73.9,175.2,79.8,235.9,267.0
MAR07875,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07876,73.9,175.2,79.8,235.9,267.0
MAR07878,83.0,255.10000000000002,165.2,227.9,268.7
MAR07879,14.7,49.2,30.0,35.9,97.8
MAR07880,20.5,61.5,29.4,43.7,134.1
MAR07881,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07882,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07883,83.0,255.10000000000002,165.2,227.9,268.7
MAR07884,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07885,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07886,83.0,255.10000000000002,165.2,227.9,268.7
MAR07887,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07888,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07889,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07890,83.0,255.10000000000002,165.2,227.9,268.7
MAR07891,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07892,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07893,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07894,83.0,255.10000000000002,165.2,227.9,268.7
MAR07895,83.0,255.10000000000002,165.2,227.9,268.7
MAR08083,103.1,15.4,23.0,4.5,46.400000000000006
MAR08085,103.1,15.4,23.0,4.5,46.400000000000006
MAR08087,103.1,15.4,23.0,4.5,46.400000000000006
MAR08443,58.3,116.8,77.4,218.3,173.2
MAR08444,58.3,116.8,77.4,218.3,173.2
MAR08445,36.3,42.9,53.8,38.4,48.7
