,sample_1,sample_2
"('MAR04381', 'ENSG00000105220')","{'ENSG00000105220': ('ENSG00000105220', 1, 93.8)}","{'ENSG00000105220': ('ENSG00000105220', 1, 24.2)}"
"('MAR04391', 'ENSG00000111669')","{'ENSG00000111669': ('ENSG00000111669', 1, 32.8)}","{'ENSG00000111669': ('ENSG00000111669', 1, 1.6)}"
"('MAR04394', 'ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883')","{'ENSG00000106633': ('ENSG00000106633', 0.011299435028248586, 0.6), 'ENSG00000156510': ('ENSG00000156510', 0.20903954802259886, 11.1), 'ENSG00000156515': ('ENSG00000156515', 0.6817325800376648, 36.2), 'ENSG00000159399': ('ENSG00000159399', 0.08662900188323915, 4.6), 'ENSG00000160883': ('ENSG00000160883', 0.011299435028248586, 0.6)}","{'ENSG00000106633': ('ENSG00000106633', 0.12741312741312744, 6.6), 'ENSG00000156510': ('ENSG00000156510', 0.04826254826254827, 2.5), 'ENSG00000156515': ('ENSG00000156515', 0.5984555984555985, 31.0), 'ENSG00000159399': ('ENSG00000159399', 0.22586872586872586, 11.7), 'ENSG00000160883': ('ENSG00000160883', 1, nan)}"
"('MAR04396', 'ENSG00000079739 or ENSG00000169299')","{'ENSG00000079739': ('ENSG00000079739', 0.9015748031496063, 45.8), 'ENSG00000169299': ('ENSG00000169299', 0.0984251968503937, 5.0)}","{'ENSG00000079739': ('ENSG00000079739', 1, 27.0), 'ENSG00000169299': ('ENSG00000169299', 1, nan)}"
"('MAR04521', 'ENSG00000131482 or ENSG00000141349 or ENSG00000152254')","{'ENSG00000141349': ('ENSG00000141349', 1, 5.0)}","{'ENSG00000141349': ('ENSG00000141349', 1, 3.4)}"
"('MAR06412', 'ENSG00000110435 and ENSG00000150768')","{'ENSG00000110435': ('ENSG00000110435', 1, 32.5), 'ENSG00000150768': ('ENSG00000150768', 1, 14.6)}","{'ENSG00000110435': ('ENSG00000110435', 1, 37.5), 'ENSG00000150768': ('ENSG00000150768', 1, 5.8)}"
"('MAR07745', 'ENSG00000143891')","{'ENSG00000143891': ('ENSG00000143891', 1, 12.7)}","{'ENSG00000143891': ('ENSG00000143891', 1, 0.1)}"
"('MAR07747', 'ENSG00000159322')","{'ENSG00000159322': ('ENSG00000159322', 1, 21.4)}","{'ENSG00000159322': ('ENSG00000159322', 1, 3.3)}"
"('MAR08360', 'ENSG00000121691')","{'ENSG00000121691': ('ENSG00000121691', 1, 39.0)}","{'ENSG00000121691': ('ENSG00000121691', 1, 14.0)}"
"('MAR08652', 'ENSG00000131482 or ENSG00000141349 or ENSG00000152254')","{'ENSG00000141349': ('ENSG00000141349', 1, 5.0)}","{'ENSG00000141349': ('ENSG00000141349', 1, 3.4)}"
"('MAR08757', 'ENSG00000130649')","{'ENSG00000130649': ('ENSG00000130649', 1, 5.3)}","{'ENSG00000130649': ('ENSG00000130649', 1, 4.6)}"
"('MAR03989', 'ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335')","{'ENSG00000092529': ('ENSG00000092529', 0.1851400730816078, 15.2), 'ENSG00000171298': ('ENSG00000171298', 0.3654080389768575, 30.0), 'ENSG00000214013': ('ENSG00000214013', 0.4116930572472594, 33.8), 'ENSG00000257335': ('ENSG00000257335', 0.037758830694275276, 3.1)}","{'ENSG00000092529': ('ENSG00000092529', 1, 37.4), 'ENSG00000171298': ('ENSG00000171298', 1, nan), 'ENSG00000214013': ('ENSG00000214013', 1, nan), 'ENSG00000257335': ('ENSG00000257335', 1, nan)}"
"('MAR04122', 'ENSG00000109814')","{'ENSG00000109814': ('ENSG00000109814', 1, 4.3)}","{'ENSG00000109814': ('ENSG00000109814', 1, 29.8)}"
"('MAR04837', 'ENSG00000118094 or ENSG00000142102')","{'ENSG00000142102': ('ENSG00000142102', 1, 22.9)}","{'ENSG00000142102': ('ENSG00000142102', 1, 76.7)}"
"('MAR05395', 'ENSG00000056998 or ENSG00000163754')","{'ENSG00000056998': ('ENSG00000056998', 0.3968871595330739, 10.2), 'ENSG00000163754': ('ENSG00000163754', 0.603112840466926, 15.5)}","{'ENSG00000056998': ('ENSG00000056998', 1, 16.4), 'ENSG00000163754': ('ENSG00000163754', 1, nan)}"
"('MAR05396', 'ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754')","{'ENSG00000056998': ('ENSG00000056998', 0.19615384615384615, 10.2), 'ENSG00000104812': ('ENSG00000104812', 0.39807692307692305, 20.7), 'ENSG00000111713': ('ENSG00000111713', 0.10769230769230767, 5.6), 'ENSG00000163754': ('ENSG00000163754', 0.2980769230769231, 15.5)}","{'ENSG00000056998': ('ENSG00000056998', 0.311787072243346, 16.4), 'ENSG00000104812': ('ENSG00000104812', 0.47338403041825095, 24.9), 'ENSG00000111713': ('ENSG00000111713', 0.21482889733840307, 11.3), 'ENSG00000163754': ('ENSG00000163754', 1, nan)}"
"('MAR09727', 'ENSG00000104812 or ENSG00000111713 or ENSG00000119938 or ENSG00000173281')","{'ENSG00000104812': ('ENSG00000104812', 0.09482363719651855, 20.7), 'ENSG00000111713': ('ENSG00000111713', 0.02565277141548328, 5.6), 'ENSG00000119938': ('ENSG00000119938', 0.8767750801649107, 191.4), 'ENSG00000173281': ('ENSG00000173281', 0.0027485112230874946, 0.6)}","{'ENSG00000104812': ('ENSG00000104812', 0.6058394160583941, 24.9), 'ENSG00000111713': ('ENSG00000111713', 0.2749391727493917, 11.3), 'ENSG00000119938': ('ENSG00000119938', 0.11922141119221412, 4.9), 'ENSG00000173281': ('ENSG00000173281', 1, nan)}"
"('MAR05397', 'ENSG00000114480')","{'ENSG00000114480': ('ENSG00000114480', 1, 29.7)}","{'ENSG00000114480': ('ENSG00000114480', 1, 17.6)}"
"('MAR05398', 'ENSG00000068976 or ENSG00000100504 or ENSG00000100994')","{'ENSG00000068976': ('ENSG00000068976', 0.40113798008534857, 28.2), 'ENSG00000100504': ('ENSG00000100504', 0.017069701280227598, 1.2), 'ENSG00000100994': ('ENSG00000100994', 0.5817923186344239, 40.9)}","{'ENSG00000068976': ('ENSG00000068976', 0.033057851239669415, 1.6), 'ENSG00000100504': ('ENSG00000100504', 0.33264462809917356, 16.1), 'ENSG00000100994': ('ENSG00000100994', 0.634297520661157, 30.7)}"
"('MAR05399', 'ENSG00000162688')","{'ENSG00000162688': ('ENSG00000162688', 1, 91.7)}","{'ENSG00000162688': ('ENSG00000162688', 1, nan)}"
"('MAR05400', 'ENSG00000162688')","{'ENSG00000162688': ('ENSG00000162688', 1, 91.7)}","{'ENSG00000162688': ('ENSG00000162688', 1, nan)}"
