,sample_1,sample_2,sample_3,sample_4,sample_5
ENSG00000012232,4.560830860534125,4.5,4.431034482758621,4.373493975903615,4.217054263565892
ENSG00000012660,48.31113788047715,32.18822936781127,29.572831050228295,45.39868756131409,38.13972386587774
ENSG00000012963,0.004318663587180057,0.0015444993037093306,0.0027001862197392904,0.002144339405118747,0.0015152089094283877
ENSG00000013375,1.0,1.0,1.0,1.0,1.0
ENSG00000013392,1.0,1.0,1.0,1.0,1.0
ENSG00000013503,2.0,2.0,2.0,2.0,2.0
ENSG00000013561,0.010678014363906725,0.012457273072540843,0.004027001862197394,0.006778879409730234,0.009394295238456002
ENSG00000014641,2.0,2.0,2.0,2.0,2.0
ENSG00000016864,0.3769423558897243,0.39739413680781743,0.38879456706281834,0.4885111740635821,0.32925472747497225
ENSG00000017260,0.024503029658764754,0.5,0.35668789808917195,0.18906605922551253,0.4579710144927536
ENSG00000017797,2.0,2.0,2.0,2.0,2.0
ENSG00000018510,1.0,1.0,1.0,1.0,1.0
ENSG00000023041,0.0636423405654175,0.07453249024619935,0.05283867341202924,0.06835482367562529,0.0720204603580563
ENSG00000023228,1.0,1.0,1.0,1.0,1.0
ENSG00000023330,3.0,3.0,3.0,3.0,3.0
ENSG00000023572,0.3606973058637084,0.0194282103933028,0.34952978056426337,0.14388243335611756,0.06548757170172084
ENSG00000023697,1.0,1.0,1.0,1.0,1.0
ENSG00000023909,1.0,1.0,1.0,1.0,1.0
ENSG00000024048,0.008447495807890658,0.003899227750348149,0.006401303538175046,0.006917223887479822,0.002007651804992612
ENSG00000025708,1.0,1.0,1.0,1.0,1.0
ENSG00000025800,0.5373665480427046,0.6648648648648648,0.5743944636678201,0.6557377049180327,0.5717255717255718
ENSG00000027847,1.1443609022556391,1.3973941368078173,1.2529711375212225,1.2001888574126536,1.3559510567296997
ENSG00000030066,1.0763827919227391,1.0288104089219332,1.0467050543825975,1.0403041825095056,1.033637000700771
ENSG00000031698,1.0,1.0,1.0,1.0,1.0
ENSG00000033100,0.4307692307692308,0.5767441860465117,0.527736131934033,0.49523809523809526,0.6041666666666666
ENSG00000033178,0.002499446325181132,0.0007849094822129382,0.007774674115456239,0.005187917915609871,0.0030872381529603392
ENSG00000033627,0.09699740693378268,0.007329533818155636,0.07688282874236248,0.08411020139434146,0.06307434723379944
ENSG00000033867,3.0,3.0,3.0,3.0,3.0
ENSG00000034677,0.00896953206568165,0.0031143182681352107,0.013850093109869637,0.008692644685266315,0.011894389939012833
ENSG00000035687,1.0,1.0,1.0,1.0,1.0
ENSG00000038002,4.0,4.0,4.0,4.0,4.0
ENSG00000038210,0.31007751937984496,0.4025974025974026,0.6770428015564202,1.5175438596491229,1.1301775147928996
ENSG00000038274,1.7544378698224852,1.523219814241486,0.5590152063721942,1.1735015772870663,0.9028896257697774
ENSG00000039123,0.04184139409188333,0.012019858897308595,0.06073521576984551,0.07719196038450335,0.018538713195201745
ENSG00000039650,1.0,1.0,1.0,1.0,1.0
ENSG00000040933,3.0,3.0,3.0,3.0,3.0
ENSG00000043514,1.0,1.0,1.0,1.0,1.0
ENSG00000047249,0.13072203869749882,0.22465818010372468,0.09256265157639453,0.05834305717619603,0.1232938017453569
ENSG00000047315,2.0,2.0,2.0,2.0,2.0
ENSG00000047410,1.0,1.0,1.0,1.0,1.0
ENSG00000048392,3.5,3.5,3.5,3.5,3.5
ENSG00000049759,0.008020375233334388,0.003899227750348149,0.004189944134078211,0.010306663592344945,0.018428728360922766
ENSG00000049860,43.8311105005389,25.376225596529302,35.14411864783098,40.89914075727078,34.96394284753465
ENSG00000051382,1.221324717285945,1.4959349593495934,0.5995203836930455,0.991549295774648,1.2117962466487937
ENSG00000052802,14.0,14.0,14.0,14.0,14.0
ENSG00000053371,4.21602787456446,5.908799605619916,4.826114249843063,4.976003801377999,5.288968454842891
