,reaction_expression
MAR06854_f,1.9
MAR06855_f,1.9
MAR06874,-1.0
MAR06875_f,-1.0
MAR06876_f,-1.0
MAR06877_f,-1.0
MAR06878_f,-1.0
MAR06879_f,-1.0
MAR06880_f,-1.0
MAR06881,-1.0
MAR06882_f,-1.0
MAR06883_f,1750.5
MAR06885_f,9.2
MAR06886_f,1750.5
MAR06888,4.6
MAR06889,-1.0
MAR07628,153.2
MAR07756,0.4
MAR08539,-1.0
MAR08794,-1.0
MAR08795,-1.0
MAR08796,-1.0
MAR03875,249.6
MAR03877,37.2
MAR03879,-1.0
MAR03881,4.1
MAR03912_f,28.400000000000002
MAR03917,24.5
MAR03919_f,-1.0
MAR03920_f,30.0
MAR03922_f,-1.0
MAR03928,61.099999999999994
MAR03995_f,85.0
MAR03996_f,-1.0
MAR04072,23.5
MAR04189,4.1
MAR04302,4.1
MAR04323,-1.0
MAR05381,-1.0
MAR05385,7.4
MAR05386,42.2
MAR05387,23.5
MAR05388,78.9
MAR05389,78.9
MAR05390,-1.0
MAR05391,-1.0
MAR05418_f,-1.0
MAR05419_f,-1.0
MAR06515,61.099999999999994
MAR06518,61.099999999999994
MAR06519_f,148.5
MAR06520_f,61.099999999999994
MAR06523_f,175.1
MAR08062,-1.0
MAR08066_f,28.400000000000002
MAR08067_f,16.1
MAR08068_f,96.4
MAR08069_f,115.2
MAR08641,23.5
MAR08682_f,-1.0
MAR08683,4.1
MAR08684_f,16.1
MAR08685,-1.0
MAR03868,29.2
MAR03869,29.2
MAR03889,3.5
MAR03933_f,49.4
MAR03937,100.5
MAR04116,3267.3999999999996
MAR04120,3267.3999999999996
MAR04121,3267.3999999999996
MAR04175,7.699999999999999
MAR04176,7.699999999999999
MAR04324,33.2
MAR04326,24.7
MAR04328,177.2
MAR04329,177.2
MAR04708,46.7
MAR08769,7.699999999999999
MAR08770,46.7
MAR08771,-1.0
MAR04078,28.9
MAR04079,278.0
MAR04174,0.4
MAR04330_f,6.7
MAR04347,-1.0
MAR04425,-1.0
MAR04427,87.5
MAR04688,278.0
MAR04689,44.8
MAR04735_f,2.9
MAR07991,-1.0
MAR07992,-1.0
MAR07993,278.0
MAR07128,112.8
MAR07129,112.8
MAR07130,-1.0
MAR07131_f,85.0
MAR07132,68.0
MAR07133_f,-1.0
MAR07134_f,4.1
MAR07135,-1.0
MAR07136_f,37.2
MAR07137_f,4.1
MAR07138,9.9
MAR07139_f,249.6
MAR07140_f,-1.0
MAR07141,-1.0
MAR07620,21.400000000000002
MAR07647,-1.0
MAR08640,23.5
MAR08689,-1.0
MAR08690,-1.0
MAR03748,4.1
MAR03753,2.9
MAR03755,14.9
MAR03759,279.90000000000003
MAR03763,12.8
MAR03773,10.9
MAR03775_f,8.1
MAR03780,4.1
MAR03785,2.9
MAR03790,1.9
MAR03792_f,6.7
MAR03796_f,28.5
MAR03823_f,86.4
MAR06416,4.1
MAR03986,-1.0
MAR03988,292.0
MAR04124,21.2
MAR04158,38.099999999999994
MAR04159_f,12.9
MAR04299,59.8
MAR04300,23.0
MAR04494,112.7
MAR04524,104.9
MAR04525,5.9
MAR04526,5.9
MAR04527_f,42.1
MAR04528,5.9
MAR04529,94.9
MAR04530,3.8
MAR04531,-1.0
MAR04532,27.4
MAR04533,-1.0
MAR04534,-1.0
MAR04536,27.4
MAR04628,9.6
MAR04629,26.1
MAR04631,11.4
MAR07696,-1.0
MAR07697,7.7
MAR07698_f,12.9
MAR08366,-1.0
MAR08367,-1.0
MAR08368,-1.0
MAR08371,94.9
MAR08372,-1.0
MAR08373_f,74.1
MAR08375,2.6
MAR08376,-1.0
MAR08377,27.4
MAR08672,21.2
MAR08674,-1.0
MAR08675,-1.0
MAR05130,24.4
MAR05131,14.3
MAR05132,28.7
MAR05133,73.4
MAR05134,62.6
MAR05135,15.9
MAR05136,48.1
MAR05137,48.0
MAR05138,38.8
MAR05139,23.5
MAR05140,19.6
MAR05141,60.5
MAR05142,43.5
MAR05143,19.8
MAR05144,8.9
MAR05145,12.5
MAR05146,48.0
MAR05147,50.4
MAR05148,32.2
MAR05149,100.8
MAR05150,16.1
MAR07171,68.30000000000001
MAR07172,0.8
MAR07174,-1.0
MAR07175,-1.0
MAR07180,19.2
MAR07181,47.6
MAR07183,0.8
MAR07197,-1.0
MAR07436,191.29999999999998
MAR07438,45.2
MAR07440,19.2
MAR08254,-1.0
MAR08255,-1.0
MAR08256,-1.0
MAR08257,19.2
MAR08258,-1.0
MAR08260,-1.0
MAR08261,-1.0
MAR01532,70.5
MAR07254,12.2
MAR07256,2.7
MAR07258,-1.0
MAR07259,-1.0
MAR07260,-1.0
MAR07261,2.6
MAR07263,4.1
MAR07264,14.4
MAR07265,66.5
MAR07266,7.6
MAR07267,22.8
MAR07268,22.8
MAR07269,4.4
MAR07270,4.4
MAR07271,35.8
MAR07274,26.1
MAR07275,29.400000000000002
MAR07276,35.3
MAR07277,2.8
MAR07278,39.6
MAR07279,8.4
MAR07280,16.6
MAR07281,22.5
MAR07285,20.700000000000003
MAR07286,17.4
MAR07287,35.6
MAR07288,-1.0
MAR07289,202.5
MAR07290,-1.0
MAR07291,202.5
MAR07292,-1.0
MAR07293,202.5
MAR07294,-1.0
MAR07295,-1.0
MAR07296,-1.0
MAR07297,-1.0
MAR07298,-1.0
MAR07299,-1.0
MAR07300,-1.0
MAR07301,-1.0
MAR07302,-1.0
MAR07303,-1.0
MAR07304,-1.0
MAR07305,-1.0
MAR07306,-1.0
MAR07308,202.5
MAR07309,202.5
MAR07310,202.5
MAR07311,202.5
MAR07312,202.5
MAR07313,202.5
MAR07314,202.5
MAR07315,202.5
MAR07316,202.5
MAR07317,202.5
MAR07318,202.5
MAR07319,202.5
MAR07320,202.5
MAR07321,202.5
MAR07322,202.5
MAR07323,243.2
MAR07324,68.0
MAR07325,27.1
MAR07326,-1.0
MAR07327,82.4
MAR07328,18.9
MAR07329,0.1
MAR07332,12.1
MAR07333,209.3
MAR07334,27.099999999999998
MAR07428,71.3
MAR07429,67.5
MAR07574,16.9
MAR07575,14.8
MAR07576,290.4
MAR07577,10.7
MAR07578,292.0
MAR07580,124.0
MAR07582,124.0
MAR07585,16.9
MAR07586,14.8
MAR07587,292.0
MAR08691,2.7
MAR08692,-1.0
MAR08693,82.4
MAR08694,18.9
MAR08695,-1.0
MAR05151,-1.0
MAR05152,-1.0
MAR05153,-1.0
MAR05154,-1.0
MAR05155,-1.0
MAR05156,-1.0
MAR05157,568.1
MAR05158,-1.0
MAR05159,-1.0
MAR05160,-1.0
MAR05161,-1.0
MAR05162,-1.0
MAR05163,-1.0
MAR05164,184.2
MAR05165,1182.4
MAR05166,4.2
MAR05167,-1.0
MAR05168,-1.0
MAR05169,-1.0
MAR05170,-1.0
MAR05171,-1.0
MAR05172,-1.0
MAR05174,-1.0
MAR07282,-1.0
MAR07616,-1.0
MAR07619_f,49.8
MAR09735,-1.0
MAR07621,-1.0
MAR07622,11.7
MAR07624,16.8
MAR07626,16.8
MAR05258,-1.0
MAR05259,6832.300000000001
