,reaction_expression
MAR06979,25.7
MAR06980,4.0
MAR06981,12.1
MAR06982,62.9
MAR06983,143.7
MAR06984,71.8
MAR06985,10.5
MAR08017,-1.0
MAR08018,-1.0
MAR08019,-1.0
MAR08021,11.8
MAR08025,978.5000000000002
MAR08026,978.5000000000002
MAR08027,978.5000000000002
MAR08029,18.3
MAR03164,15.5
MAR03166,4.6
MAR03885,17.0
MAR04250,-1.0
MAR08091,-1.0
MAR08092,72.8
MAR08563,142.7
MAR08564,38.400000000000006
MAR08565,-1.0
MAR08566,-1.0
MAR03935,13.3
MAR04681,-1.0
MAR04682,72.8
MAR04683,1.2
MAR04685,1.2
MAR04686,1.2
MAR04687,1.2
MAR04702,-1.0
MAR04703,0.6
MAR04704,0.6
MAR06988,-1.0
MAR07689,25.7
MAR07701,4.0
MAR08094,-1.0
MAR08529,-1.0
MAR08530,94.2
MAR08533,-1.0
MAR08534,25.7
MAR08535,25.7
MAR08537,-1.0
MAR08541,-1.0
MAR08542,-1.0
MAR08543,-1.0
MAR08544,-1.0
MAR08630,-1.0
MAR08540,-1.0
MAR03206,11.1
MAR03208,15.2
MAR03213,13.0
MAR03215,19.2
MAR03747,1.5
MAR03744,56.7
MAR03757,68.4
MAR03761,23.2
MAR03777,1.5
MAR03778,56.7
MAR03795,23.2
MAR04797,168.7
MAR06417,27.6
MAR06419,4.6
MAR06420,27.6
MAR06421,4.6
MAR06422,27.6
MAR06923,1.5
MAR03765,56.7
MAR06924,-1.0
MAR06925,1101.3000000000002
MAR06926,26.0
MAR06927,26.0
MAR08088,37.5
MAR08787,8.1
MAR03743,-1.0
MAR03940,-1.0
MAR04214,-1.0
MAR04216,0.6
MAR04218,0.6
MAR04219,0.6
MAR04220,-1.0
MAR04222,38.400000000000006
MAR04224,0.6
MAR04225,0.6
MAR04227,39.0
MAR04231,0.3
MAR04232,-1.0
MAR04233,-1.0
MAR04235,-1.0
MAR04243,24.2
MAR04244,38.400000000000006
MAR04245,-1.0
MAR04246,38.400000000000006
MAR04248,-1.0
MAR06707,-1.0
MAR06708,-1.0
MAR06709,-1.0
MAR06711,-1.0
MAR06712,-1.0
MAR06713,72.8
MAR06714,168.7
MAR06715,21.7
MAR06716,-1.0
MAR06717,0.6
MAR06718,-1.0
MAR06719,72.8
MAR06720,-1.0
MAR06721,-1.0
MAR06722,-1.0
MAR06723,338.49999999999994
MAR06725,35.9
MAR06726,-1.0
MAR06727,20.4
MAR06728,-1.0
MAR06729,-1.0
MAR06730,21.7
MAR06731,-1.0
MAR06734,-1.0
MAR06735,21.7
MAR06736,21.7
MAR06738,-1.0
MAR06739,21.7
MAR06740,-1.0
MAR06741,-1.0
MAR06742,-1.0
MAR06743,0.9
MAR06744,-1.0
MAR06745,72.8
MAR06746,21.7
MAR06747,72.8
MAR06748,1.2
MAR06749,1.2
MAR06750,21.7
MAR06751,72.8
MAR06752,72.8
MAR06753,1.2
MAR06754,1.2
MAR06755,21.7
MAR06756,94.2
MAR06757,21.7
MAR06758,72.8
MAR06759,-1.0
MAR06760,1.2
MAR06761,1.2
MAR06762,21.7
MAR06763,21.7
MAR06764,72.8
MAR06765,-1.0
MAR06766,1.2
MAR06767,1.2
MAR06768,35.9
MAR06770,-1.0
MAR06771,20.4
MAR06772,-1.0
MAR06774,0.3
MAR06776,6.2
MAR06778,9.3
MAR06782,-1.0
MAR06783,-1.0
MAR06784,-1.0
MAR06785,-1.0
MAR06786,-1.0
MAR06787,-1.0
MAR06788,21.7
MAR06789,72.8
MAR06790,1.2
MAR06791,1.2
MAR06792,-1.0
MAR06798,-1.0
MAR06799,-1.0
MAR06800,-1.0
MAR06801,-1.0
MAR06802,-1.0
MAR06803,-1.0
MAR06806,-1.0
MAR06807,-1.0
MAR06808,123.3
MAR06811,338.49999999999994
MAR06813,120.8
MAR06814,4.6
MAR06815,338.49999999999994
MAR06817,4.6
MAR06818,-1.0
MAR06819,4.6
MAR06820,338.49999999999994
MAR06822,-1.0
MAR06823,4.6
MAR06824,338.49999999999994
MAR06826,50.2
MAR06827,50.2
MAR06828,-1.0
MAR06829,378.7
MAR06830,-1.0
MAR06831,9.9
MAR06834,50.2
MAR06835,50.2
MAR06836,-1.0
MAR06837,-1.0
MAR06838,0.6
MAR06839,9.9
MAR06840,50.2
MAR06841,50.2
MAR06842,-1.0
MAR06843,-1.0
MAR06844,0.6
MAR06845,9.9
MAR06848,50.2
MAR06849,50.2
MAR06850,0.6
MAR06851,9.9
MAR06854,50.2
MAR06855,50.2
MAR06874,-1.0
MAR06875,-1.0
MAR06876,-1.0
MAR06877,-1.0
MAR06878,-1.0
MAR06879,-1.0
MAR06880,-1.0
MAR06881,-1.0
MAR06882,-1.0
MAR06883,338.49999999999994
MAR06885,4.6
MAR06886,338.49999999999994
MAR06888,22.3
MAR06889,-1.0
MAR07628,123.3
MAR07756,71.8
MAR08539,-1.0
MAR08794,-1.0
MAR08795,-1.0
MAR08796,-1.0
MAR03875,124.5
MAR03877,543.4
MAR03879,-1.0
MAR03881,15.8
MAR03912,35.9
MAR03917,51.1
MAR03919,-1.0
MAR03920,347.09999999999997
MAR03922,-1.0
MAR03928,23.5
MAR03995,71.80000000000001
MAR03996,-1.0
MAR04072,58.2
MAR04189,10.2
MAR04302,15.8
MAR04323,-1.0
MAR05381,-1.0
MAR05385,14.2
MAR05386,40.3
MAR05387,9.0
MAR05388,23.8
MAR05389,23.8
MAR05390,-1.0
MAR05391,-1.0
MAR05418,-1.0
MAR05419,-1.0
MAR06515,23.5
MAR06518,23.5
MAR06519,65.9
MAR06520,23.5
MAR06523,145.9
MAR08062,-1.0
MAR08066,35.9
MAR08067,11.1
MAR08068,58.5
MAR08069,7.4
MAR08641,58.2
MAR08682,-1.0
MAR08683,15.8
MAR08684,11.1
MAR08685,-1.0
MAR03868,12.1
MAR03869,12.1
MAR03889,8.7
MAR03933,21.7
MAR03937,35.6
MAR04116,262.79999999999995
MAR04120,262.79999999999995
MAR04121,262.79999999999995
MAR04175,26.0
MAR04176,26.0
MAR04324,15.2
MAR04326,12.7
MAR04328,75.2
MAR04329,75.2
MAR04708,16.7
MAR08769,26.0
MAR08770,16.7
MAR08771,-1.0
MAR04078,36.5
MAR04079,168.7
MAR04174,13.9
MAR04330,37.5
MAR04347,-1.0
MAR04425,-1.0
MAR04427,16.1
MAR04688,168.7
MAR04689,12.1
MAR04735,15.5
MAR07991,-1.0
