,reaction_expression
MAR08027,141.39999999999995
MAR08029,12.3
MAR03164,6.1
MAR03166,107.6
MAR03885_f,556.3
MAR04250,-1.0
MAR08091,12.3
MAR08092,110.60000000000001
MAR08563,245.9
MAR08564,24.6
MAR08565,-1.0
MAR08566,15.4
MAR03935_f,83.0
MAR04681,12.3
MAR04682,110.60000000000001
MAR04683,6.1
MAR04685,6.1
MAR04686_f,6.1
MAR04687_f,6.1
MAR04702,-1.0
MAR04703,3.1
MAR04704,3.1
MAR06988,-1.0
MAR07689,169.1
MAR07701,-1.0
MAR08094,-1.0
MAR08529,-1.0
MAR08530_f,132.1
MAR08533,-1.0
MAR08534,169.1
MAR08535,169.1
MAR08537,-1.0
MAR08541,-1.0
MAR08542,-1.0
MAR08543,-1.0
MAR08544,-1.0
MAR08630,-1.0
MAR08540,-1.0
MAR03206,132.2
MAR03208,40.0
MAR03213,86.1
MAR03215,27.7
MAR03747,-1.0
MAR03744,76.8
MAR03757,663.9
MAR03761,122.9
MAR03777,-1.0
MAR03778,76.8
MAR03795,122.9
MAR04797,362.70000000000005
MAR06417_f,24.6
MAR06419,3.1
MAR06420,24.6
MAR06421,3.1
MAR06422,24.6
MAR06923,-1.0
MAR03765,76.8
MAR06924,-1.0
MAR06925_f,746.8999999999999
MAR06926_f,27.7
MAR06927_f,27.7
MAR08088_f,6.1
MAR08787,33.8
MAR03743_f,116.8
MAR03940,6.1
MAR04214,-1.0
MAR04216,24.6
MAR04218,3.1
MAR04219,24.6
MAR04220_f,-1.0
MAR04222_f,24.6
MAR04224,3.1
MAR04225,3.1
MAR04227,166.0
MAR04231,33.8
MAR04232_f,-1.0
MAR04233,-1.0
MAR04235,-1.0
MAR04243,27.7
MAR04244,24.6
MAR04245,-1.0
MAR04246_f,24.6
MAR04248_f,-1.0
MAR06707,12.3
MAR06708_f,-1.0
MAR06709_f,-1.0
MAR06711,-1.0
MAR06712_f,-1.0
MAR06713,110.60000000000001
MAR06714,362.70000000000005
MAR06715,282.8
MAR06716,-1.0
MAR06717,24.6
MAR06718,12.3
MAR06719,110.60000000000001
MAR06720,-1.0
MAR06721,-1.0
MAR06722_f,-1.0
MAR06723_f,4788.5
MAR06725_f,249.0
MAR06726,110.6
MAR06727,2046.9
MAR06728,-1.0
MAR06729,-1.0
MAR06730,282.8
MAR06731,12.3
MAR06734_f,-1.0
MAR06735,282.8
MAR06736,282.8
MAR06738_f,-1.0
MAR06739,282.8
