,sample_1,sample_2,sample_3
MAR06613_f,8.8,21.7,4.9
MAR06621_f,64.4,33.6,48.8
MAR06622,64.4,33.6,48.8
MAR06623,0.2,9.4,5.9
MAR06624,5.3,47.3,11.7
MAR06627_f,298.0,3.8,485.0
MAR07744_f,28.5,10.2,24.4
MAR08072,-1.0,-1.0,-1.0
MAR08637,-1.0,-1.0,-1.0
MAR03965,185.9,83.4,71.2
MAR03966,14.7,35.9,17.6
MAR03967_f,73.9,235.9,49.8
MAR03968_f,8.8,21.7,4.9
MAR03999,6.1,0.7,2.0
MAR04024_f,73.9,235.9,49.8
MAR04026_f,0.8,1.3,2.0
MAR04054,0.2,9.4,5.9
MAR04061,6.1,0.7,2.0
MAR04083,103.39999999999999,154.0,33.2
MAR04136,1744.3999999999999,4704.599999999999,4726.8
MAR04180,36.3,38.4,70.3
MAR04185,15.600000000000001,115.0,11.8
MAR04186,15.600000000000001,115.0,11.8
MAR04342,49.6,148.8,40.0
MAR04344_f,-1.0,-1.0,-1.0
MAR04483,5.3,47.3,11.7
MAR04507,29.7,48.5,11.7
MAR04516,49.4,28.2,18.5
MAR04601,35.3,82.3,20.5
MAR04633,1.5,3.6,3.9
MAR04640,8.8,21.7,4.9
MAR04641,0.2,9.4,5.9
MAR04680_f,10.7,22.6,15.6
MAR04806,20.3,17.8,15.6
MAR05394,-1.0,-1.0,-1.0
MAR06625,5.3,47.3,11.7
MAR06626,26.2,44.6,44.9
MAR07160,236.60000000000002,170.29999999999998,355.20000000000005
MAR07161,3.8,4.2,3.9
MAR07162,3.8,4.2,3.9
MAR07163,0.5,4.2,10.7
MAR07164,0.5,4.2,10.7
MAR07713,67.1,140.20000000000002,139.60000000000002
MAR07716,67.1,140.20000000000002,139.60000000000002
MAR07717,67.1,140.20000000000002,139.60000000000002
MAR07721,67.1,140.20000000000002,139.60000000000002
MAR07725,67.1,140.20000000000002,139.60000000000002
MAR07728,67.1,140.20000000000002,139.60000000000002
MAR07800_f,-1.0,-1.0,-1.0
MAR07801_f,221.1,303.3,78.1
MAR07802_f,-1.0,-1.0,-1.0
MAR07863_f,73.9,235.9,49.8
MAR07864_f,73.9,235.9,49.8
MAR07865_f,73.9,235.9,49.8
MAR07866_f,73.9,235.9,49.8
MAR07867_f,73.9,235.9,49.8
MAR07868_f,73.9,235.9,49.8
MAR07869_f,73.9,235.9,49.8
MAR07870_f,73.9,235.9,49.8
MAR07871_f,73.9,235.9,49.8
MAR07872_f,73.9,235.9,49.8
MAR07873_f,73.9,235.9,49.8
MAR07874_f,73.9,235.9,49.8
MAR07875_f,0.8,1.3,2.0
MAR07876_f,73.9,235.9,49.8
MAR07878_f,144.2,409.5,95.6
MAR07879,14.7,35.9,17.6
MAR07880,20.5,43.7,42.0
MAR07881_f,61.2,181.6,37.1
MAR07882_f,61.2,181.6,37.1
MAR07883_f,181.5,410.9,117.1
MAR07884_f,61.2,181.6,37.1
MAR07885_f,61.2,181.6,37.1
MAR07886_f,181.5,410.9,117.1
MAR07887_f,61.2,181.6,37.1
MAR07888_f,61.2,181.6,37.1
MAR07889_f,61.2,181.6,37.1
MAR07890_f,181.5,410.9,117.1
MAR07891_f,61.2,181.6,37.1
MAR07892_f,61.2,181.6,37.1
MAR07893_f,61.2,181.6,37.1
MAR07894_f,181.5,410.9,117.1
MAR07895_f,181.5,410.9,117.1
MAR08083,365.3,42.8,507.5
MAR08085,365.3,42.8,507.5
MAR08087,365.3,42.8,507.5
MAR08443,58.3,218.3,30.2
MAR08444,58.3,218.3,30.2
MAR08445,36.3,38.4,70.3
MAR08446,0.1,0.2,1.0
MAR08448_f,73.9,235.9,49.8
MAR08449_f,73.9,235.9,49.8
MAR08450_f,73.9,235.9,49.8
MAR08451_f,73.9,235.9,49.8
MAR08452_f,73.9,235.9,49.8
MAR08453_f,73.9,235.9,49.8
MAR08454_f,73.9,235.9,49.8
MAR08455_f,73.9,235.9,49.8
MAR08456_f,73.9,235.9,49.8
MAR08457_f,73.9,235.9,49.8
MAR08458_f,73.9,235.9,49.8
MAR08459_f,73.9,235.9,49.8
MAR08460_f,73.9,235.9,49.8
MAR08461_f,-1.0,-1.0,-1.0
MAR08462_f,73.9,235.9,49.8
MAR08463_f,73.9,235.9,49.8
MAR08464_f,73.9,235.9,49.8
MAR08465_f,73.9,235.9,49.8
MAR08466_f,73.9,235.9,49.8
MAR08467_f,73.9,235.9,49.8
MAR08468_f,73.9,235.9,49.8
MAR08469_f,73.9,235.9,49.8
MAR08470_f,73.9,235.9,49.8
MAR08471_f,73.9,235.9,49.8
MAR08472_f,73.9,235.9,49.8
MAR08473,1.5,3.6,3.9
MAR08474,49.6,148.8,40.0
MAR08477_f,6.6,7.3,8.8
MAR08478_f,6.6,7.3,8.8
MAR08479_f,6.6,7.3,8.8
MAR08480,0.1,0.2,1.0
MAR08481_f,-1.0,-1.0,-1.0
MAR08482,13.0,43.4,15.6
MAR08483,185.9,83.4,71.2
MAR08484,-1.0,-1.0,-1.0
MAR08485,37.9,32.6,31.2
MAR08486_f,4.8,32.0,15.6
MAR08487,19.9,50.5,32.2
MAR08488,14.7,35.9,17.6
MAR08489,14.7,35.9,17.6
MAR08493,5.5,77.2,2.9
MAR08494,5.5,77.2,2.9
MAR08495,5.5,77.2,2.9
MAR03802_f,70.8,376.40000000000003,30.3
MAR03804_f,70.8,376.40000000000003,30.3
MAR03811,2.3,1030.8,11.7
MAR03813_f,11.5,508.0,10.7
MAR03822,9.4,323.4,17.6
MAR03827_f,380.2,167.1,36.1
MAR03829_f,554.4,192.1,65.4
MAR03862,4.8,3.1,2.9
MAR03865,380.2,167.1,36.1
MAR03870,36.9,37.5,9.8
MAR03873,-1.0,-1.0,-1.0
MAR08654,-1.0,-1.0,-1.0
MAR03890,194.5,667.1,619.6
MAR03892,46.2,4.2,42.9
MAR09802,-1.0,-1.0,-1.0
MAR03899_f,1.5,191.0,18.5
