,sample_1,sample_2,sample_3
MAR03903,-1.0,-1.0,-1.0
MAR04109_f,8.6,103.4,24.4
MAR04114,82.0,238.9,25.4
MAR04115,82.0,238.9,25.4
MAR04118,36.9,37.5,9.8
MAR04172,4.8,3.1,2.9
MAR04196,-1.0,-1.0,-1.0
MAR04197,6.8999999999999995,45.5,7.8
MAR04287,339.9,551.4,404.0
MAR04690,-1.0,-1.0,-1.0
MAR04693_f,12.7,263.2,3.9
MAR06780,380.2,167.1,36.1
MAR06968_f,1.6,17.5,1.0
MAR06969_f,0.7,9.0,10.7
MAR06970_f,1.5,191.0,18.5
MAR06971_f,60.5,59.1,16.6
MAR06972_f,60.5,59.1,16.6
MAR07641,19.3,4.1,2.0
MAR07642_f,-1.0,-1.0,-1.0
MAR08626,-1.0,-1.0,-1.0
MAR08628,0.7,9.0,10.7
MAR03806_f,9.4,323.4,17.6
MAR03807_f,30.1,164.2,36.1
MAR03809_f,-1.0,-1.0,-1.0
MAR03816,-1.0,-1.0,-1.0
MAR03819_f,9.4,323.4,17.6
MAR03820_f,9.4,323.4,17.6
MAR03832,-1.0,-1.0,-1.0
MAR03833,49.6,22.4,17.5
MAR03835,49.6,22.4,17.5
MAR03837,48.300000000000004,18.4,16.6
MAR03895,3.4,23.2,3.9
MAR03897,3.4,23.2,3.9
MAR03956_f,0.4,1.5,2.0
MAR03993,-1.0,-1.0,-1.0
MAR04073,126.3,58.1,160.0
MAR04075,28.1,56.6,62.5
MAR04077,86.0,106.5,111.3
MAR04190_f,-1.0,-1.0,-1.0
MAR04191,-1.0,-1.0,-1.0
MAR04212,75.4,50.1,102.5
MAR04422,75.4,50.1,102.5
MAR04423,3.4,0.1,2.0
MAR04424,0.4,96.4,40.0
MAR04583_f,98.6,796.3,946.5
MAR04605,613.6,1478.0,213.79999999999998
MAR04606,11.1,0.2,29.3
MAR04607,20.2,114.5,15.6
MAR04776,84.3,35.8,53.7
MAR04777,84.3,35.8,53.7
MAR04778,49.7,25.099999999999998,19.5
MAR04779,49.7,25.099999999999998,19.5
MAR04780,49.7,25.099999999999998,19.5
MAR04781,49.7,25.099999999999998,19.5
MAR04784,9.4,323.4,17.6
MAR04785,9.4,323.4,17.6
MAR04786,934.5999999999999,359.2,101.5
