,sample_1,sample_2
"('MAR07414', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07415', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07416', 'ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386')","{'ENSG00000170266': ('ENSG00000170266', 1, 0.4012)}","{'ENSG00000170266': ('ENSG00000170266', 1, 2.646)}"
"('MAR07417', 'ENSG00000135677')","{'ENSG00000135677': ('ENSG00000135677', 1, 93.12)}","{'ENSG00000135677': ('ENSG00000135677', 1, 70.65)}"
"('MAR07418', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07419', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07420', 'ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386')","{'ENSG00000170266': ('ENSG00000170266', 1, 0.4012)}","{'ENSG00000170266': ('ENSG00000170266', 1, 2.646)}"
"('MAR07421', 'ENSG00000135677')","{'ENSG00000135677': ('ENSG00000135677', 1, 93.12)}","{'ENSG00000135677': ('ENSG00000135677', 1, 70.65)}"
"('MAR07422', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07423', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
