,sample_1,sample_2,sample_3
"('MAR11726', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11728', '')",{},{},{}
"('MAR11730', '')",{},{},{}
"('MAR11731', 'ENSG00000149452')",{},{},{}
"('MAR11732', '')",{},{},{}
"('MAR11733', '')",{},{},{}
"('MAR11734', 'ENSG00000149452')",{},{},{}
"('MAR11735', '')",{},{},{}
"('MAR11736', 'ENSG00000097021 or ENSG00000101473 or ENSG00000112304 or ENSG00000119673')","{'ENSG00000097021': ('ENSG00000097021', 0.24793388429752064, 9.0), 'ENSG00000101473': ('ENSG00000101473', 0.15426997245179064, 5.6), 'ENSG00000112304': ('ENSG00000112304', 0.512396694214876, 18.6), 'ENSG00000119673': ('ENSG00000119673', 0.08539944903581266, 3.1)}","{'ENSG00000097021': ('ENSG00000097021', 0.22701149425287356, 15.8), 'ENSG00000101473': ('ENSG00000101473', 0.19827586206896552, 13.8), 'ENSG00000112304': ('ENSG00000112304', 0.4985632183908046, 34.7), 'ENSG00000119673': ('ENSG00000119673', 0.07614942528735631, 5.3)}","{'ENSG00000097021': ('ENSG00000097021', 0.23175965665236056, 5.4), 'ENSG00000101473': ('ENSG00000101473', 0.15450643776824038, 3.6), 'ENSG00000112304': ('ENSG00000112304', 0.5751072961373392, 13.4), 'ENSG00000119673': ('ENSG00000119673', 0.03862660944206009, 0.9)}"
"('MAR11737', 'ENSG00000109424')",{},{},{}
"('MAR11738', '')",{},{},{}
"('MAR11739', '')",{},{},{}
"('MAR11740', 'ENSG00000097021 or ENSG00000101473 or ENSG00000112304 or ENSG00000119673')","{'ENSG00000097021': ('ENSG00000097021', 0.24793388429752064, 9.0), 'ENSG00000101473': ('ENSG00000101473', 0.15426997245179064, 5.6), 'ENSG00000112304': ('ENSG00000112304', 0.512396694214876, 18.6), 'ENSG00000119673': ('ENSG00000119673', 0.08539944903581266, 3.1)}","{'ENSG00000097021': ('ENSG00000097021', 0.22701149425287356, 15.8), 'ENSG00000101473': ('ENSG00000101473', 0.19827586206896552, 13.8), 'ENSG00000112304': ('ENSG00000112304', 0.4985632183908046, 34.7), 'ENSG00000119673': ('ENSG00000119673', 0.07614942528735631, 5.3)}","{'ENSG00000097021': ('ENSG00000097021', 0.23175965665236056, 5.4), 'ENSG00000101473': ('ENSG00000101473', 0.15450643776824038, 3.6), 'ENSG00000112304': ('ENSG00000112304', 0.5751072961373392, 13.4), 'ENSG00000119673': ('ENSG00000119673', 0.03862660944206009, 0.9)}"
"('MAR11741', 'ENSG00000109424')",{},{},{}
"('MAR11742', '')",{},{},{}
"('MAR11743', '')",{},{},{}
"('MAR11744', 'ENSG00000115361')","{'ENSG00000115361': ('ENSG00000115361', 1, 0.9)}","{'ENSG00000115361': ('ENSG00000115361', 1, 0.3)}","{'ENSG00000115361': ('ENSG00000115361', 1, 4.5)}"
