,reaction_expression
MAR06944,78.43105206
MAR06945,78.43105206
MAR06946,78.43105206
MAR06947,78.43105206
MAR06948,78.43105206
MAR06949,78.43105206
MAR06950,78.43105206
MAR06951,78.43105206
MAR06952,78.43105206
MAR06953,142.92600808
MAR06954,142.92600808
MAR06955,-1.0
MAR06956,-1.0
MAR06957,-1.0
MAR06958,114.13554613
MAR06959,114.13554613
MAR06960,-1.0
MAR06961,114.13554613
MAR06962,114.13554613
MAR06963,114.13554613
MAR06964,114.13554613
MAR06965,37.48701799
MAR06966,37.48701799
MAR06967,37.48701799
MAR06973,142.92600808
MAR08096,42.69955003
MAR08097,42.69955003
MAR08098,41.29513725
MAR08416,43.18569292
MAR08425,26.30573164
MAR08426,51.6931934
MAR08427,222.14029034000004
MAR08431,-1.0
MAR08432,39.2695419
MAR08603,83.58956821
MAR08604,153.67516742
MAR08605,265.62307055
MAR08606,35.29937501
MAR08607,-1.0
MAR08608,45.13026446
MAR08609,89.99044953
MAR08610,61.4970749
MAR08611,128.9629041
MAR04285,47.34491538
MAR00457,29.30361276
MAR00460,29.30361276
MAR03750,146.13995269999998
MAR03752,107.16749811
MAR03770,113.32530798
MAR03771,146.13995269999998
MAR03772,146.13995269999998
MAR03782,146.13995269999998
MAR03784,107.16749811
MAR03794,43.18569292
MAR03839,90.34155273
MAR03841,40.78198644
MAR03843,109.35514111
MAR03845,55.90643173
MAR03847,54.15091576
MAR03849,84.75090956
MAR03852,43.13167705
MAR03856,39.53962128
MAR03860,-1.0
MAR03883,117.67358601000001
MAR03901,37.83812119
MAR03939,137.6864681
MAR03974,117.67358601000001
MAR04198,39.75568478
MAR04199,26.30573164
MAR04200,117.67358601000001
MAR04284,-1.0
MAR04348,60.74085264
MAR04466,35.00228769
MAR04467,39.75568478
MAR04582,46.75074074
MAR04584,222.14029034000004
MAR04696,61.01093202
MAR04697,56.14950317
MAR04698,56.14950317
MAR04699,88.36997325
MAR04700,76.81057577
MAR04742,137.6864681
MAR04788,78.48506792
MAR04789,45.13026446
MAR04791,39.75568478
MAR04792,38.08119263
MAR04937,193.29581253
MAR05392,42.56451035
MAR05393,55.69036823
MAR06409,54.25894751
MAR07702,39.53962128
MAR07703,79.0252267
MAR08433,38.29725613
MAR08434,36.70378779
MAR08439,49.04641548
MAR08440,56.14950317
MAR08441,61.01093202
MAR08442,-1.0
MAR09718,-1.0
MAR09486,59.30943192
MAR04426,265.56905468
MAR04428,93.50148146999999
MAR04429,56.06847936
MAR04430,153.67516742
MAR04431,171.60843827
MAR04437,38.08119263
MAR04658,26.57581103
MAR04660,44.91420096
MAR04712,42.26742302
MAR05336,591.12273972
MAR05337,226.86667949000002
MAR05338,297.95157241000004
MAR05339,591.12273972
MAR05340,591.12273972
MAR08783,78.43105206
MAR08784,265.62307055
MAR08786,152.43280225
MAR04239,22.09249331
MAR04241,852.4515481900002
MAR04288,29.22258895
MAR04596,51.9092569
MAR04597,51.9092569
MAR04599,118.53784002999998
MAR04667,84.66988574
MAR04668,29.22258895
MAR04737,56.14950317
MAR04739,56.14950317
MAR04740,-1.0
MAR06415,73.29954382
MAR06974,-1.0
MAR06975,748.7140582100001
MAR06976,748.7140582100001
MAR06977,748.7140582100001
MAR06978,30.6810176
MAR06979,41.91631983
MAR06980,38.08119263
MAR06981,40.07978004
MAR06982,37.67607356
MAR06983,143.41215096000002
MAR06984,132.77102339
MAR06985,60.22770182
MAR08017,-1.0
MAR08018,-1.0
MAR08019,-1.0
MAR08021,45.48136766
MAR08025,806.7271090900001
MAR08026,806.7271090900001
MAR08027,806.7271090900001
MAR08029,30.6810176
MAR03164,38.51331964
MAR03166,32.67960503
MAR03885,66.38551169
MAR04250,-1.0
MAR08091,50.99098701
MAR08092,75.24411536
MAR08563,152.43280225
MAR08564,51.9092569
MAR08565,-1.0
MAR08566,200.25035655
MAR03935,45.61640734
MAR04681,50.99098701
MAR04682,153.67516742
MAR04683,171.60843827
MAR04685,171.60843827
MAR04686,171.60843827
MAR04687,171.60843827
MAR04702,-1.0
MAR04703,29.43865246
MAR04704,29.43865246
MAR06988,63.17156706
MAR07689,194.74073718999998
MAR07701,78.75514731
MAR08094,47.88507413
MAR08529,78.43105206
MAR08530,295.97999289
MAR08533,40.24182767
MAR08534,194.74073718999998
MAR08535,194.74073718999998
MAR08537,47.26389157
MAR08541,40.24182767
MAR08542,40.24182767
MAR08543,63.17156706
MAR08544,63.17156706
MAR08630,40.24182767
MAR08540,-1.0
MAR03206,33.46283522
MAR03208,34.73220831
MAR03213,36.83882747
MAR03215,-1.0
MAR03747,45.85947878
MAR03744,37.05489099
MAR03757,142.03474614
MAR03761,46.93979631
MAR03777,45.85947878
MAR03778,37.05489099
MAR03795,46.93979631
MAR04797,265.62307055
MAR06417,64.84605923
MAR06419,42.59151827
MAR06420,64.84605923
MAR06421,42.59151827
MAR06422,64.84605923
MAR06923,45.85947878
MAR03765,37.05489099
MAR06924,90.12548923
MAR06925,1234.3599967700002
MAR06926,37.89213706
MAR06927,37.89213706
MAR08088,35.48843058
MAR08787,27.65612855
MAR03743,146.13995269999998
MAR03940,35.00228769
MAR04214,83.83263966999999
MAR04216,33.70590667
MAR04218,39.70166891
MAR04219,33.70590667
MAR04220,58.66124141
MAR04222,51.9092569
MAR04224,39.70166891
MAR04225,39.70166891
MAR04227,56.50060637
MAR04231,40.34985942
MAR04232,-1.0
MAR04233,-1.0
MAR04235,-1.0
MAR04243,28.52038256
MAR04244,51.9092569
MAR04245,-1.0
MAR04246,51.9092569
MAR04248,-1.0
MAR06707,50.99098701
MAR06708,-1.0
MAR06709,-1.0
MAR06711,47.83105826
MAR06712,-1.0
MAR06713,75.24411536
MAR06714,265.62307055
MAR06715,40.29584355
MAR06716,49.12743929
MAR06717,33.70590667
MAR06718,50.99098701
MAR06719,75.24411536
MAR06720,-1.0
MAR06721,-1.0
MAR06722,43.13167705
MAR06723,804.3017962699998
MAR06725,134.7696108
MAR06726,38.81040696
MAR06727,23.14580289
MAR06728,47.26389157
MAR06729,40.24182767
MAR06730,40.29584355
MAR06731,50.99098701
MAR06734,-1.0
MAR06735,40.29584355
MAR06736,40.29584355
MAR06738,-1.0
MAR06739,40.29584355
MAR06740,50.99098701
MAR06741,41.88931189
MAR06742,-1.0
MAR06743,62.36132892
MAR06744,-1.0
MAR06745,75.24411536
MAR06746,40.29584355
MAR06747,75.24411536
MAR06748,171.60843827
MAR06749,171.60843827
MAR06750,40.29584355
MAR06751,75.24411536
MAR06752,75.24411536
MAR06753,171.60843827
MAR06754,171.60843827
MAR06755,40.29584355
MAR06756,295.97999289
MAR06757,40.29584355
MAR06758,153.67516742
MAR06759,-1.0
